formula,activity,"length, nm","width, nm","depth, nm",pol,surf,"Km, mM","Vmax, mM/s",ReactionType,"C min, mM","C max, mM","C(const), mM",Ccat(mg/mL),ph,"temp, °C",Zpotential,"SurfaceArea, m^2/g ",id
Ir@MnFe2O4,peroxidase,11.24,11.24,11.24,,Oleylamine,0.01,0.001,TMB+H2O2,0.001,0.1,2.0,1.0,7.4,37.0,18.98,,10519
Fe3O4,peroxidase,,,,,,,,H2O2+TMB,,,490.0,,4.8,,,,10520
Fe3O4,peroxidase,,,,,,,,TMB+H2O2,,,490.0,,4.8,,,,10521
Au,peroxidase,10.0,10.0,10.0,,,,,TMB+H2O2,1e-05,1e-05,5e-06,,7.5,25.0,,,10522
Pt,catalase,10.0,10.0,10.0,,,,,H2O2,,,10000.0,,7,25.0,,,10523
MnFe2O4,oxidase,150.0,150.0,150.0,,,37.76,0.1585,TMB,5.0,120.0,,,4,28.0,,,10524
MnFe2O4,oxidase,150.0,150.0,150.0,,,37.76,0.1585,ABTS,,,,,4,28.0,,,10525
MnFe2O4,oxidase,150.0,150.0,150.0,,,37.76,0.1585,OPD,,,,,4,28.0,,,10526
MnFe2O4,oxidase,150.0,150.0,150.0,,,37.76,0.1585,dopamine,,,,,4,28.0,,,10527
Au,peroxidase,13.0,13.0,13.0,,Sodium citrate,0.064,8.166666666666668e-06,TMB+H2O2,0.0,1.0,,,7,25.0,-46.6,,10528
Au,peroxidase,13.0,13.0,13.0,,Sodium citrate,0.13,2e-05,H2O2+TMB,,,1.0,,7,25.0,-46.6,,10529
Au,peroxidase,14.36,14.36,14.36,,Sodium citrate,0.072,7.166666666666666e-06,TMB+H2O2,0.0,1.0,,,7,25.0,-19.1,,10530
Au,peroxidase,14.36,14.36,14.36,,Sodium citrate,0.0969999999999999,9.166666666666668e-06,H2O2+TMB,,,1.0,,7,25.0,-19.1,,10531
CeO2,peroxidase,,,,,,20.13,,H2O2+DAB,,,0.575,,,,,,10532
CeO2,peroxidase,,,,,,0.3,,DAB+H2O2,,,137.5,,,,,,10533
Au,peroxidase,13.0,13.0,13.0,,Sodium citrate,,,TMB + H2O2,,,2000.0,,7.4,37.0,,,10534
ZrO2,peroxidase,82.0,82.0,82.0,,,,,TMB+H2O2,0.05,1.0,100.0,,4,25.0,25.8,,10535
ZrO2,peroxidase,82.0,82.0,82.0,,,,,TMB+H2O2,0.05,1.0,100.0,,4,35.0,25.8,,10536
ZrO2,peroxidase,82.0,82.0,82.0,,,,,TMB+H2O2,0.05,1.0,100.0,,4,45.0,25.8,,10537
ZrO2,peroxidase,82.0,82.0,82.0,,,,,H2O2+TMB,1e-05,100.0,1.0,,4,25.0,25.8,,10538
ZnFe2O4/ZnO,peroxidase,20.0,20.0,20.0,,Ascorbic acid,0.05,0.001,TMB+H2O2,0.001,0.5,150.0,0.05,3,25.0,,,10539
ZnFe2O4/ZnO,peroxidase,20.0,20.0,20.0,,Ascorbic acid,0.05,0.001,H2O2+TMB,10.0,200.0,0.5,0.05,3,25.0,,,10540
Au,phosphatase,2.85,2.85,2.85,,,0.93,,HPNP,,,,,7.4,40.0,,,10541
Ag,peroxidase,8.0,8.0,8.0,,,4.17,0.00247,TMB+H2O2,0.0,30.0,5000.0,0.0456,5 mM,20.0,-24.8,,10542
Ag,peroxidase,8.0,8.0,8.0,,,58.6,0.0002149999999999,H2O2+TMB,0.0,3000.0,10.0,0.0456,5 mM,20.0,-24.8,,10543
Fe2O3,peroxidase,64.0,64.0,64.0,,,,,3-AP + 4-AAP,,,,,9.8,20.0,,14.0,10544
Fe3O4,peroxidase,6.0,6.0,6.0,poly(ethylene glycol),Ascorbic acid,,,H2O2+TMB,,,0.1,0.1,~6.5-7.0,25.0,,,10545
Fe3O4,peroxidase,6.0,6.0,6.0,poly(ethylene glycol),Ascorbic acid,0.01,0.0001166666666666,TMB+H2O2,0.001,0.1,0.1,0.1,~6.5-7.0,25.0,,,10546
Au,oxidase,23.0,23.0,23.0,,Sodium citrate,0.001,1e-05,Glucose + O2,,,5.0,,7.4,22.0,,,10547
Au,oxidase,23.0,23.0,23.0,,Sodium citrate,0.001,1e-05,H2O2 + ABTS,,,0.4,,7.4,22.0,,,10548
MoS2,peroxidase,,,,,,0.8246,1.161e-05,TMB+H2O2,0.1,1.6,10.0,,3.6,37.0,,,10549
MoS2,peroxidase,,,,,,2.0828,1.3460000000000002e-05,H2O2+TMB,0.8,12.8,0.8,,3.6,37.0,,,10550
MoS2,peroxidase,,,,,,0.7916,1.796e-05,TMB+H2O2,0.1,1.6,10.0,,3.6,37.0,,,10551
MoS2,peroxidase,,,,,,0.4459,4.348e-05,H2O2+TMB,0.8,12.8,0.8,,3.6,37.0,,,10552
Co3O4,peroxidase,,,80.0,Nafion,,0.136,,H2O2,1.0,390.0,,0.5,7.0,25.0,,,10553
CeO2/CoO,peroxidase,650.0,650.0,650.0,,,0.245,0.0001478,TMB+H2O2,0.1,1.0,20.0,0.03,5,25.0,,,10554
CeO2/CoO,peroxidase,650.0,650.0,650.0,,,0.113,0.001101,H2O2+TMB,0.02,0.2,20.0,0.03,5,25.0,,,10555
Fe3O4,peroxidase,275.0,275.0,275.0,,Ethylene glycol,,,TMB+H2O2,0.00083,,0.00063,0.025,3.6,25.0,-8.7,47.1,10556
Fe3O4,peroxidase,108.0,108.0,108.0,,Ethylene glycol,,,TMB+H2O2,0.00083,,0.00063,0.025,3.6,25.0,-13.8,16.9,10557
Fe3O4,peroxidase,8.5,8.5,8.5,,Ethylene glycol,,,TMB+H2O2,0.00083,,0.00063,0.025,3.6,25.0,-10.5,21.8,10558
Fe3O4,peroxidase,10.0,10.0,10.0,,,,,TMB+H2O2,0.001,0.1,1.0,,8.0,25.0,,,10559
Fe3O4,peroxidase,10.0,10.0,10.0,,,,,H2O2+TMB,0.001,0.1,1.0,,8.0,25.0,,,10560
Au,peroxidase,25.0,25.0,25.0,Poly(vinyl alcohol),,,,DABA+H2O2,0.0198,1.22,,,3,25.0,,,10561
Au,peroxidase,30.0,30.0,30.0,Poly(vinyl alcohol),,,,DABA+H2O2,0.00199,0.2,,,3,25.0,,,10562
Au,peroxidase,52.0,52.0,52.0,Poly(vinyl alcohol),,,,DABA+H2O2,0.000107,0.0286,,,3,25.0,,,10563
Ag,peroxidase,100.0,100.0,100.0,,,0.04,0.0001,TMB+H2O2,0.025,1.0,10.0,,5.0,37.0,,,10564
Ag,peroxidase,100.0,100.0,100.0,,,1.5,0.0001,H2O2+TMB,2.0,20.0,0.2,,5.0,37.0,,,10565
Ru,,,,,,,,,RCM,,,,,,30.0,,500.0,10566
Pt,peroxidase,2.3,2.3,2.3,,,0.056,5.82e-07,TMB+H2O2,0.001,0.125,125.0,,4,25.0,,,10567
Pt,peroxidase,2.3,2.3,2.3,,,48.0,5.679999999999999e-07,H2O2+TMB,1.0,125.0,0.125,,4,25.0,,,10568
Pt,peroxidase,2.3,2.3,2.3,,,0.0329,1.19e-07,TMB+H2O2,0.001,0.125,125.0,,4,25.0,,,10569
Pt,peroxidase,2.3,2.3,2.3,,,74.4,3.05e-07,H2O2+TMB,1.0,125.0,0.125,,4,25.0,,,10570
Pt,peroxidase,2.3,2.3,2.3,,,0.0162,1.93e-08,TMB+H2O2,0.001,0.125,125.0,,4,25.0,,,10571
Pt,peroxidase,2.3,2.3,2.3,,,117.2,5.1900000000000015e-08,H2O2+TMB,1.0,125.0,0.125,,4,25.0,,,10572
Au,phosphatase,2.85,2.85,2.85,,,0.93,,HPNP,,,,,7.4,40.0,,,10573
C,peroxidase,43.0,43.0,43.0,,,,,,,,,,5.5,25.0,,,10574
C,peroxidase,165.0,165.0,165.0,,,0.682,,H2O2 + TMB,0.0,1.0,0.25,,5.5,25.0,,,10575
C,peroxidase,165.0,165.0,165.0,,,0.543,,H2O2 + TMB,0.0,1.0,0.25,,5.5,25.0,,,10576
C,peroxidase,165.0,165.0,165.0,,,0.49,,H2O2 + TMB,0.0,1.0,0.25,,5.5,25.0,,,10577
C,peroxidase,165.0,165.0,165.0,,,,,H2O2 + TMB,0.0,1.0,0.25,,5.5,25.0,,,10578
C,peroxidase,165.0,165.0,165.0,,,,,TMB + H2O2,0.0,80.0,0.25,,5.5,25.0,,,10579
C,peroxidase,165.0,165.0,165.0,,,36.0,,TMB + H2O2,0.0,80.0,0.25,,5.5,25.0,,,10580
C,peroxidase,165.0,165.0,165.0,,,0.031,,TMB + H2O2,0.0,80.0,0.25,,5.5,25.0,,,10581
Au,peroxidase,8.1,8.1,8.1,,,,,TMB+H2O2,0.001,0.8,1400.0,,4.5,25.0,,,10582
Au,peroxidase,8.1,8.1,8.1,,,,,H2O2+TMB,0.001,0.8,2.5,,4.5,25.0,,,10583
MnO2,peroxidase,70.0,70.0,70.0,poly(ethylene glycol),CTAB,,,H2O2+TMB,,,,,~7.4,25.0,,,10584
MnO2,peroxidase,70.0,70.0,70.0,poly(ethylene glycol),CTAB,,,TMB+H2O2,,,,,~7.4,25.0,,,10585
Fe3O4,peroxidase,300.0,300.0,300.0,,,1.51,,H2O2+TMB,0.01,50.0,,0.0014,7.4,25.0,,,10586
Fe3O4,peroxidase,300.0,300.0,300.0,,,0.0067,,H2O2+ABTS,0.01,100.0,,0.0014,7.4,25.0,,,10587
Fe3O4,peroxidase,449.0,449.0,449.0,,,0.21,,H2O2+TMB,0.01,50.0,,0.0014,7.4,25.0,,,10588
Fe3O4,peroxidase,449.0,449.0,449.0,,,0.0067,,H2O2+ABTS,0.01,100.0,,0.0014,7.4,25.0,,,10589
Fe3O4,peroxidase,,,,,,0.49,0.0131666666666666,H2O2+TMB,,,5.0,10.0,3.5,30.0,,,10590
Fe3O4,peroxidase,,,,,,0.67,1.883333333333333e-05,TMB+H2O2,,,5.0,0.01,3.5,30.0,,,10591
Au,peroxidase,13.0,13.0,13.0,poly(N-Vinylpyrrolidone),,,,TMB+H2O2,5e-06,0.0001,100.0,,5.0,25.0,-15.6,,10592
Au,peroxidase,13.0,13.0,13.0,poly(N-Vinylpyrrolidone),,,,H2O2+TMB,5e-06,0.0001,0.5,,5.0,25.0,-15.6,,10593
Ru,peroxidase,50.0,50.0,50.0,,,0.05,0.0254,H2O2,0.0005,1.75,,,7.4,25.0,,,10594
Fe3O4,peroxidase,12.0,12.0,12.0,,oleic acid,,,H2O2+PG,2.0000000000000002e-23,,50.0,,8,40.0,,,10595
Fe3O4,peroxidase,12.0,12.0,12.0,,oleic acid,,,H2O2+PG,5.0000000000000005e-22,,50.0,,8,40.0,,,10596
Fe4[Fe(CN)6]3,peroxidase,20.0,20.0,20.0,,,0.028,,H2O2+ABTS,0.002,0.2,4.0,,4.0,50.0,-4.59,,10597
Fe4[Fe(CN)6]3,peroxidase,20.0,20.0,20.0,,,157.45,,ABTS+H2O2,0.5,4.0,0.005,,4.0,50.0,-4.59,,10598
CeO2,phosphatase,3.5,3.5,3.5,,,,,,,,,,6,75.0,,,10599
Se,peroxidase,,,,,,,,H2O2+GSH,,,,,,,,,10600
Se,peroxidase,,,,,,,,H2O2+GSH,,,,,,,,,10601
Se,peroxidase,,,,,,,,H2O2+GSH,,,,,,,,,10602
MnO2,catalase,100.0,100.0,100.0,,,,,H2O2,,,,,,37.0,,,10603
MnO2,catalase,100.0,100.0,100.0,,,,8.03,H2O2,,,,,5.5,37.0,,,10604
MnO2,catalase,100.0,100.0,100.0,,,,8.03,H2O2,,,,,7.4,37.0,,,10605
AgPt,peroxidase,44.3,,,BSA,,0.129,0.08971,OPD+H2O2,,,1.0,,4,,,,10606
AgPt,peroxidase,44.3,,,BSA,,76.05,0.12849,H2O2+OPD,,,1.0,,4,,,,10607
AgPt,catalase,44.3,,,BSA,,62.98,0.0060999999999999,H2O2,,,,,11,,,,10608
CuS,peroxidase,7.0,7.0,7.0,,,,,TMB+H2O2,0.01,1.0,100.0,100.0,~7,25.0,,,10609
CuS,peroxidase,7.0,7.0,7.0,,,,,H2O2+TMB,0.01,1.0,100.0,100.0,~7,25.0,,,10610
MnO2,multi-activity,150.0,,4.5,,Sodium dodecylbenzenesulfonate,,,,,,,,5.0,20.5,-36.3,,10611
MnO2,multi-activity,150.0,,4.5,,Sodium dodecylbenzenesulfonate,0.025,,TMB+H2O2,,,0.0066,0.002,5.0,37.0,-36.3,,10612
MnO2,multi-activity,150.0,,4.5,,Sodium dodecylbenzenesulfonate,0.025,,H2O2+TMB,,,0.0066,0.002,5.0,37.0,-36.3,,10613
NiTe,peroxidase,5000000.0,45.0,,,,0.011,4.27e-05,ABTS+H2O2,0.1,500.0,100.0,2.0,4.0,30.0,,,10614
PtCo,catalase,70.0,70.0,70.0,poly(N-Vinylpyrrolidone),,,,H2O2,0.0,4.0,,0.1,,25.0,,,10615
PtCo,catalase,70.0,70.0,70.0,poly(N-Vinylpyrrolidone),,,,H2O2,,,,,,25.0,,,10616
PtCo,catalase,70.0,70.0,70.0,poly(N-Vinylpyrrolidone),,,,H2O2,4.0,4.0,,,,37.0,,,10617
Fe3O4,peroxidase,14.5,14.5,14.5,,,,,TMB+H2O2,,,0.1,,6.0,25.0,,,10618
TiN,peroxidase,70.0,70.0,70.0,,,0.1,0.0001,H2O2+TMB,0.01,0.1,0.1,,4.0,50.0,,,10619
TiN,peroxidase,,,,,,0.1,0.0001,H2O2+TMB,0.01,0.1,0.1,,4.0,50.0,,,10620
TiN,peroxidase,,,,,,0.1,0.0001,H2O2+TMB,0.01,0.1,0.1,,4.0,50.0,,,10621
TiN,peroxidase,70.0,70.0,70.0,,,0.1,0.0001,TMB+H2O2,0.01,0.1,0.1,,4.0,50.0,,,10622
TiN,peroxidase,,,,,,0.1,0.0001,TMB+H2O2,0.01,0.1,0.1,,4.0,50.0,,,10623
TiN,peroxidase,,,,,,0.1,0.0001,TMB+H2O2,0.01,0.1,0.1,,4.0,50.0,,,10624
CeO2,peroxidase,7.9,7.9,7.9,,,0.217,,TMB+H2O2,0.0,1.0,15.0,0.01,4.0,25.0,,,10625
CeO2,peroxidase,7.3,7.3,7.3,,,0.196,,TMB+H2O2,0.0,1.0,15.0,0.01,4.0,25.0,,,10626
CeO2,peroxidase,6.7,6.7,6.7,,,0.163,,TMB+H2O2,0.0,1.0,15.0,0.01,4.0,25.0,,,10627
CeO2,oxidase,7.9,7.9,7.9,,,0.261,,TMB,0.05,1.0,,0.5,4.0,25.0,,,10628
CeO2,oxidase,6.7,6.7,6.7,,,0.132,,TMB,0.05,1.0,,0.5,4.0,25.0,,,10629
Au,peroxidase,13.0,13.0,13.0,,,,,TMB+H2O2,0.05,2.0,,,~3,25.0,,,10630
Au,peroxidase,13.0,13.0,13.0,,,,,H2O2+TMB,0.05,2.0,,,~3,25.0,,,10631
CoOOH,peroxidase,,,,,,0.02,0.0001,TMB+H2O2,0.01,0.1,40.0,0.001,4.0,37.0,,,10632
CoOOH,peroxidase,,,,,,0.02,0.0001,H2O2+TMB,10.0,100.0,0.8,0.001,4.0,37.0,,,10633
CeO2,superoxide dismutase,4.42,4.42,4.42,,,,,WST-1 + xanthine oxidase,,,,,,200.0,42.9,,10634
Fe4[Fe(CN)6]3,peroxidase,420.0,420.0,420.0,poly(dopamine),,1.81,,H2O2+TMB,0.0005,0.02,9800.0,5.0,4.5,25.0,,,10635
Fe4[Fe(CN)6]3,peroxidase,420.0,420.0,420.0,poly(dopamine),,0.204,,TMB+H2O2,0.0005,0.02,9800.0,5.0,4.5,25.0,,,10636
Pd@Pt,peroxidase,50.0,50.0,50.0,poly(N-Vinylpyrrolidone),TBAB,,,H2O2+TMB,0.001,0.01,1.0,1.0,7.4,25.0,,,10637
Pd@Pt,peroxidase,50.0,50.0,50.0,poly(N-Vinylpyrrolidone),TBAB,,,TMB+H2O2,0.001,0.01,1.0,1.0,7.4,25.0,,,10638
Au,oxidase,13.0,13.0,13.0,,,1.5,0.001,glucose,5.0,180.0,4.0,,7.4,37.0,,,10639
Au,peroxidase,13.0,13.0,13.0,,,0.1,0.0005,H2O2+OPD,1.0,160.0,0.8,,7.4,37.0,,,10640
Au,peroxidase,13.0,13.0,13.0,,,0.2,0.0005,OPD+H2O2,0.1,1.2,16.0,,7.4,37.0,,,10641
Fe3O4,peroxidase,15.0,15.0,15.0,,,,,TMB+H2O2,,,0.625,0.5,4,40.0,,,10642
Fe3O4,peroxidase,15.0,15.0,15.0,,,,,H2O2+TMB,,,0.416,0.5,4,40.0,,,10643
CeVO4,peroxidase,,,,,,3.52,,H2O2+TMB,0.15,,20.0,2e-05,3.5,35.0,,,10644
CeVO4,peroxidase,,,,,,0.136,,TMB+H2O2,,,20.0,2e-05,3.5,35.0,,,10645
CeVO4,oxidase,,,,,,0.05,,TMB,5e-05,0.008,,7.999999999999999e-05,3.5,25.0,,,10646
Au,phosphatase,2.5,2.5,2.5,,,0.93,,HPNP,,,,,7.4,40.0,,,10647
Co3O4,peroxidase,6.3,6.3,6.3,,,0.84,1.83e-07,TMB+H2O2,0.0,6.0,800.0,,4.5,25.0,,,10648
Co3O4,peroxidase,6.3,6.3,6.3,,,1.77,1.62e-07,H2O2+TMB,0.0,6.0,0.8,,4.5,25.0,,,10649
CeO2,dnase,5.0,5.0,5.0,,,,,DNA,,,,100.0,,60.0,,,10650
Pt,peroxidase,2.0,2.0,2.0,,sodium 2-mercaptoethanesulfonate,139.99999999999997,,H2O2+TMB,,,0.8,,4.5,30.0,,,10651
Pt,peroxidase,2.0,2.0,2.0,,sodium 2-mercaptoethanesulfonate,0.15,,TMB+H2O2,,,1000.0,,4.5,30.0,,,10652
Pt,peroxidase,2.0,2.0,2.0,poly(ethylene oxide),sodium 2-mercaptoethanesulfonate,170.0,,H2O2+TMB,,,0.8,,4.5,30.0,,,10653
Pt,peroxidase,2.0,2.0,2.0,poly(ethylene oxide),sodium 2-mercaptoethanesulfonate,0.16,,TMB+H2O2,,,1000.0,,4.5,30.0,,,10654
CuS,peroxidase,4.63,4.63,4.63,,,0.244,9.12e-05,TMB+H2O2,0.02,10.0,5.0,0.006,4,25.0,,18.264,10655
CuS,peroxidase,4.63,4.63,4.63,,,0.033,0.0001515,H2O2+TMB,0.01,1.5,0.5,0.006,4,25.0,,18.264,10656
C,peroxidase,1.3,1.3,1.3,,,1.1,5e-05,TMB+H2O2,0.01,0.8,25.0,0.0275,4.0,37.0,,,10657
C,peroxidase,1.3,1.3,1.3,,,25.0,5e-05,H2O2+TMB,5.0,70.0,0.1,0.0275,4.0,37.0,,,10658
Fe3O4,peroxidase,8.5,8.5,8.5,,,,,TMB+H2O2,0.005,,40.0,0.5,4.2,25.0,,,10659
Fe3O4,peroxidase,8.5,8.5,8.5,,,,,H2O2+TMB,40.0,,5.0,0.5,4.2,25.0,,,10660
Fe3O4,peroxidase,8.5,8.5,8.5,,,,,phenol+H2O2,0.001,200.0,60.0,5.0,6.2,37.0,,,10661
CdS,peroxidase,35.0,35.0,35.0,,,3.482,,H2O2,0.0049999999999999,0.4,,0.1,6.0,25.0,,,10662
C,peroxidase,3.5,3.5,3.5,,,0.097,0.0002786,H2O2+TMB,,,30.0,,4.0,37.0,-5.46,,10663
C,peroxidase,3.5,3.5,3.5,,,0.042,0.000161,TMB+H2O2,,,30.0,,4.0,37.0,-5.46,,10664
Co3O4-CeO2,peroxidase,,,,poly(N-Vinylpyrrolidone),,0.36,0.0001665999999999,TMB+H2O2,0.005,1.5,1.2,3.0,6.0,30.0,,,10665
Co3O4-CeO2,peroxidase,,,,poly(N-Vinylpyrrolidone),,132.21,4.34e-05,H2O2+TMB,0.005,1.5,0.8,3.0,6.0,30.0,,,10666
RuO2,catalase,2.0,2.0,2.0,chitosan,,3.59,0.0381666666666666,H2O2,0.2,2.0,,0.02,,25.0,,14.46,10667
RuO2,peroxidase,2.0,2.0,2.0,chitosan,,0.099,0.000215,TMB+H2O2,0.1,1.0,1.0,0.02,,25.0,,14.46,10668
RuO2,peroxidase,2.0,2.0,2.0,chitosan,,0.146,0.0002066666666666,H2O2+TMB,0.1,1.0,0.3,0.02,,25.0,,14.46,10669
RuO2,peroxidase,2.0,2.0,2.0,chitosan,,0.87,0.001085,GSH+H2O2,1.0,5.0,0.5,0.02,,25.0,,14.46,10670
RuO2,peroxidase,2.0,2.0,2.0,chitosan,,0.0172,0.0007833333333333,H2O2+GSH,0.1,0.5,2.0,0.02,,25.0,,14.46,10671
PtPd,peroxidase,35.0,35.0,35.0,,CTAB,,,TMB+H2O2,0.6,0.6,1.0,,6.5,30.0,,,10672
PtPd,peroxidase,35.0,35.0,35.0,,CTAB,0.01,0.001,H2O2+TMB,1.0,1.0,0.6,,6.5,30.0,,,10673
Au-Pt,peroxidase,100.0,20.0,,poly(thymine),CTAB,0.08,0.001,H2O2+TMB,0.08,0.8,20.0,0.004,4,30.0,,,10674
Au-Pt,peroxidase,100.0,20.0,,poly(thymine),CTAB,20.0,0.001,TMB+H2O2,0.08,0.8,20.0,0.004,4,30.0,,,10675
CuWO4,peroxidase,66.0,66.0,66.0,,,0.385,,H2O2+TMB,0.0002,0.38,0.49,,3,80.0,,,10676
CuWO4,peroxidase,66.0,66.0,66.0,,,0.385,,TMB+H2O2,0.02487,3.6,0.49,,3,80.0,,,10677
Au,peroxidase,25.0,25.0,25.0,,CTAC,,,Ascorbic acid + H2O2,,,,,7.0,25.0,,,10678
Fe2O3,peroxidase,384.0,384.0,384.0,poly(N-Vinylpyrrolidone),,0.214,2.12e-05,TMB+H2O2,0.1,1.5,700.0,,3,38.0,,,10679
Fe2O3,peroxidase,384.0,384.0,384.0,poly(N-Vinylpyrrolidone),,115.0,2.89e-05,H2O2+TMB,1.75,7.0,20.0,,3,38.0,,,10680
Fe2O3,peroxidase,942.0,942.0,942.0,poly(N-Vinylpyrrolidone),,0.0571,9.08e-05,TMB+H2O2,0.1,1.5,700.0,,3,38.0,,,10681
Fe2O3,peroxidase,942.0,942.0,942.0,poly(N-Vinylpyrrolidone),,236.0,0.000166,H2O2+TMB,1.75,7.0,20.0,,3,38.0,,,10682
Fe2O3,peroxidase,942.0,942.0,942.0,poly(N-Vinylpyrrolidone),,0.581,3.92e-05,TMB+H2O2,0.1,1.5,700.0,,3,38.0,,,10683
Fe2O3,peroxidase,942.0,942.0,942.0,poly(N-Vinylpyrrolidone),,452.0,0.000392,H2O2+TMB,1.75,7.0,20.0,,3,38.0,,,10684
Fe3O4,peroxidase,8.0,8.0,8.0,,,,,H2O2,,,,,,42.0,20.64,,10685
Fe3O4,peroxidase,8.0,8.0,8.0,,,,,H2O2,,,,,,37.0,20.64,,10686
CuO,peroxidase,6.0,6.0,6.0,,,,,H2O2+phenol,,,100.0,,3-7,25.0,,,10687
MnO2,peroxidase,350.0,10.0,,,,0.05,0.0001,TMB+H2O2,0.001,0.1,50.0,0.0032,5,25.0,,498.1,10688
MnO2,peroxidase,350.0,10.0,,,,0.05,0.0001,ABTS+H2O2,0.001,0.1,50.0,0.0032,5,25.0,,498.1,10689
TiO2,peroxidase,,,,,,0.025,,H2O2+ABTS,,,0.25,,4.4,25.0,,,10690
TiO2,peroxidase,,,,,,0.025,,H2O2+ABTS,,,0.25,,4.4,25.0,,,10691
Fe3O4,peroxidase,,,,,,100.0,0.01,TMB+H2O2,0.001,0.1,0.008,0.008,3.5,30.0,,,10692
Fe3O4,peroxidase,,,,,,100.0,0.01,H2O2+TMB,0.001,0.1,0.008,0.008,3.5,30.0,,,10693
ZnCo2O4,peroxidase,,,,poly(ethylene glycol),,0.05,0.001,H2O2+OPD,0.05,1.0,50.0,1.0,5,45.0,,,10694
ZnCo2O4,peroxidase,,,,poly(ethylene glycol),,0.05,0.001,OPD+H2O2,0.05,1.0,100.0,1.0,5,45.0,,,10695
Ag,peroxidase,14.0,14.0,14.0,chitosan,,0.12,0.0001,TMB+H2O2,1e-06,0.0005,2.5,0.0039,3,35.0,58.7,,10696
Ag,peroxidase,14.0,14.0,14.0,chitosan,,0.12,0.0001,H2O2+TMB,1e-07,5e-05,0.5,0.0039,3,35.0,58.7,,10697
Ag,oxidase,7.4,7.4,7.4,,,0.0072,4.8166666666666674e-05,ABTS+H2O2,0.005,0.2,0.2,,7,25.0,-43.18,,10698
Ag-Au/AgCl,peroxidase,,200.0,19.0,,,0.01,0.0001,H2O2+AR,0.0,1.0,0.01,,7.4,25.0,,,10699
Ag-Au/AgCl,peroxidase,,200.0,19.0,,,0.01,0.0001,AR+H2O2,0.0,1.0,0.1,,7.4,25.0,,,10700
PtPd,oxidase,30.0,30.0,30.0,Pluronic F127,,,,catechol + H2O2,,,,,7.5,35.0,744.0,,10701
PtPd,oxidase,30.0,30.0,30.0,Pluronic F127,,,,catechol + H2O2,,,,,7.4,25.0,720.0,,10702
Ag-TiO2,peroxidase,12.5,12.5,12.5,,,39.9,,H2O2+TMB,,,,,5.0,35.0,,,10703
Ag-TiO2,peroxidase,12.5,12.5,12.5,,,0.032,,TMB+H2O2,,,,,5.0,35.0,,,10704
CuCo2O4,peroxidase,4000000.0,4000000.0,4000000.0,poly(N-Vinylpyrrolidone),,0.1646,0.0006353999999999,TMB+H2O2,10.0,100.0,25.0,0.3,5,40.0,,,10705
CuCo2O4,peroxidase,4000000.0,4000000.0,4000000.0,poly(N-Vinylpyrrolidone),,0.59,6.829999999999999e-05,H2O2+TMB,10.0,100.0,100.0,0.3,5,40.0,,,10706
MnSO4,peroxidase,,,,,,,,H2O2+TMB,,,,,4.5,,,,10707
MnSO4,peroxidase,,,,,,,,TMB+H2O2,,,,,4.5,,,,10708
Ag2V4O11,peroxidase,,30.0,,,,0.438,,TMB+H2O2,0.0,5.0,5.0,0.3,5,30.0,,,10709
Ag2V4O11,peroxidase,,30.0,,,,0.72,,H2O2+TMB,0.0,5.0,5.0,0.3,5,30.0,,,10710
Ag2V4O11,peroxidase,,30.0,,,,0.05,,H2O2+TMB,0.05,0.8,8.0,0.3,5,30.0,,,10711
CdS,peroxidase,3.0,3.0,3.0,,,,,Amplex Red,,,60.0,,7,,,,10712
CdS,peroxidase,3.0,3.0,3.0,,,,,Amplex Red,,,60.0,,,,,,10713
CdS,peroxidase,3.0,3.0,3.0,,,,,Amplex Red,,,60.0,,,,,,10714
CdS,peroxidase,3.0,3.0,3.0,,,,,Amplex Red,,,60.0,,,,,,10715
CdS,peroxidase,3.0,3.0,3.0,,,,,Amplex Red,,,60.0,,,,,,10716
CdS,peroxidase,3.0,3.0,3.0,,,,,Amplex Red,,,60.0,,,,,,10717
CdS,peroxidase,3.0,3.0,3.0,,,,,Amplex Red,,,60.0,,,,,,10718
Pt/ZnCo2O4,peroxidase,1750.0,1750.0,1750.0,poly(N-Vinylpyrrolidone),Ethylene glycol,0.1357,0.0008068,TMB+H2O2,,,250.0,0.06,4,30.0,,,10719
Pt/ZnCo2O4,peroxidase,1750.0,1750.0,1750.0,poly(N-Vinylpyrrolidone),Ethylene glycol,0.73,8.35e-05,H2O2+TMB,,,0.5,0.06,4,30.0,,,10720
CuO,peroxidase,460.0,460.0,460.0,,,,,TMB+H2O2,0.2,1.0,100.0,0.5,5.4,25.0,,,10721
CuO,peroxidase,80.0,80.0,80.0,,,,,TMB+H2O2,0.2,1.0,100.0,0.5,5.4,25.0,,,10722
NiO,oxidase,15.0,15.0,15.0,,,,,AR,,,,0.2,7.5,25.0,,,10723
NiO,oxidase,15.0,15.0,15.0,,,0.0099,,AR + P(III),0.0,10.0,1.0,0.2,7.5,25.0,,,10724
NiO,oxidase,15.0,15.0,15.0,,,,,AR + P(III),0.0,10.0,1.0,0.2,7.5,25.0,,,10725
WS2,peroxidase,175.0,175.0,175.0,,,12.125,2.036e-05,TMB+H2O2,0.1,0.5,3.0,0.03,4,40.0,-1.51,,10726
WS2,peroxidase,175.0,175.0,175.0,,,5.175,5.096e-05,TMB+H2O2,0.1,0.5,3.0,0.03,4,40.0,-4.88,,10727
