formula,activity,shape,"length, nm","width, nm","depth, nm",pol,surf,"Km, mM","Vmax, mM/s",ReactionType,"C min, mM","C max, mM","C(const), mM",Ccat(mg/mL),ph,"temp, °C",Zpotential,"SurfaceArea, m^2/g ",id
NiCo2O4,peroxidase,spherical,400.0,400.0,400.0,Poly(N-Vinylpyrrolidone),Sodium dodecyl sulfate,,,H2O2+TMB,0.1,4.5,0.08,1.0,4.5,25.0,3.0,59.4,10637
Fe3O4,peroxidase,spherical,200.0,200.0,200.0,poly(ethylene glycol),,0.01,0.001,TMB+H2O2,0.001,0.1,0.5,0.02,4.5,25.0,,,10638
Fe3O4,catalase,spherical,200.0,200.0,200.0,poly(ethylene glycol),,0.01,0.001,H2O2,0.001,0.1,,0.1,7,25.0,,,10639
,,,,,,,,,,,,,,,,,,,10640
Co/CuS-MMT,peroxidase,spherical,22.5,22.5,22.5,,,0.077,1.0373e-07,TMB+H2O2,,,250.0,0.3,4.0,25.0,,,10641
Co/CuS-MMT,peroxidase,spherical,22.5,22.5,22.5,,,3.422,7.054000000000002e-08,H2O2+TMB,,,1.0,0.3,4.0,25.0,,,10642
Se,glutathione peroxidase,,70.0,70.0,70.0,BSA,,,,H2O2+GSH,,,,,7.2,,,,10643
MPO,peroxidase,,,,,,,,,L-alanine+H2O2,,,0.0003,,5.5,37.0,,,10644
MPO,peroxidase,,,,,,,,,H2O2+L-alanine,,,0.0054,,5.5,37.0,,,10645
MPO,peroxidase,,,,,,,,,guaiacol+H2O2,,,0.0001,,5.5,37.0,,,10646
HPO,peroxidase,,,,,,,,,L-alanine+H2O2,,,0.0003,,5.5,37.0,,,10647
HPO,peroxidase,,,,,,,,,guaiacol+H2O2,,,0.0001,,5.5,37.0,,,10648
g-C3N4-PdNPs,peroxidase,sheet,10.0,10.0,10.0,,,,,TMB+H2O2,0.01,1.0,50.0,0.028,6.5,37.0,,,10649
g-C3N4-PdNPs,peroxidase,sheet,10.0,10.0,10.0,,,0.05,0.3837,H2O2+TMB,0.01,1.0,10.0,0.028,6.5,37.0,,,10650
MnCcP.1,peroxidase,,,,,,,0.37,,Mn(II) + H2O2,,,10.0,,4.5,25.0,,,10651
Tyr36Phe-MnCcP.1,peroxidase,,,,,,,0.1,,Mn(II) + H2O2,,,10.0,,4.5,25.0,,,10652
Lys179Arg-MnCcP.1,peroxidase,,,,,,,0.19,,Mn(II) + H2O2,,,10.0,,4.5,25.0,,,10653
Ile40Gly-MnCcP.1,peroxidase,,,,,,,0.28,,Mn(II) + H2O2,,,10.0,,4.5,25.0,,,10654
Tyr36Phe/Lys179Arg-MnCcP.1,peroxidase,,,,,,,0.62,,Mn(II) + H2O2,,,10.0,,4.5,25.0,,,10655
Ile40Gly/Lys179Arg-MnCcP.1,peroxidase,,,,,,,0.39,,Mn(II) + H2O2,,,10.0,,4.5,25.0,,,10656
Tyr36Phe/Ile40Gly-MnCcP.1,peroxidase,,,,,,,0.28,,Mn(II) + H2O2,,,10.0,,4.5,25.0,,,10657
Tyr36Phe/Ile40Gly/Lys179Arg-MnCcP.1,peroxidase,,,,,,,0.46,,Mn(II) + H2O2,,,10.0,,4.5,25.0,,,10658
PANI,peroxidase,tubular,100.0,100.0,100.0,,,,,H2O2+TMB,0.0,80.0,10.0,,6.0,25.0,,,10659
PANI,peroxidase,tubular,400.0,400.0,400.0,,,,,H2O2+TMB,0.0,80.0,10.0,,6.0,25.0,,,10660
PANI,peroxidase,tubular,100.0,100.0,100.0,,,,,TMB+H2O2,0.0,80.0,10.0,,6.0,25.0,,,10661
PANI,peroxidase,tubular,400.0,400.0,400.0,,,,,TMB+H2O2,0.0,80.0,10.0,,6.0,25.0,,,10662
Mn-TCPP,peroxidase,,,,,,,,,H2O2+TMB,,,,,8.5,37.0,,,10663
Fe-TCPP,peroxidase,,,,,,,,,H2O2+TMB,,,,,8.5,37.0,,,10664
Mn-TCPP,peroxidase,,,,,,,,,TMB+H2O2,,,,,8.0,37.0,,,10665
Mn-TCPP,peroxidase,,,,,,,,,TMB+H2O2,,,,,8.0,37.0,,,10666
,glutathione peroxidase,,,,,,,,,H2O2+NADPH,,,0.0005,,,30.0,,,10667
Fe3O4,peroxidase,spherical,4.3,4.3,4.3,,,,,TMB+H2O2,,,500.0,,4.5,25.0,,,10668
Fe3O4,peroxidase,spherical,4.3,4.3,4.3,,,,,DAB+H2O2,,,500.0,,4.5,25.0,,,10669
Fe3O4,peroxidase,spherical,4.3,4.3,4.3,,,,,OPD+H2O2,,,500.0,,4.5,25.0,,,10670
h-Fe3O4@ppy,peroxidase,spherical,,,,Polypyrrole,Cetyltrimethylammonium bromide,0.04,0.001,TMB+H2O2,0.0002,0.02,0.2,0.06,3,45.0,34.2,,10671
h-Fe3O4@ppy,peroxidase,spherical,,,,Polypyrrole,Cetyltrimethylammonium bromide,0.04,0.001,H2O2+TMB,0.0002,0.1,0.2,0.06,3,45.0,34.2,,10672
COX,peroxidase,,,,,Poly-L-lysine,,0.5,,H2O2+TMB,0.1,0.5,2.0,,7.5,25.0,,,10673
COX,peroxidase,,,,,Poly-L-lysine,,1.2,,H2O2+TMB,0.5,1.2,2.0,,7.5,25.0,,,10674
Pt,peroxidase,spherical,2.5,2.5,2.5,,,84.07,,H2O2+TMB,0.3,640.0,416.0,16.2,5.0,25.0,-47.6,,10675
Pt,peroxidase,spherical,2.5,2.5,2.5,,,0.42,,TMB+H2O2,0.0,4.0,640.0,16.2,5.0,25.0,-47.6,,10676
HRP,peroxidase,,,,,,,0.32,,H2O2+TMB,0.0,1.4,416.0,,5.0,25.0,,,10677
HRP,peroxidase,,,,,,,0.57,,TMB+H2O2,0.0,4.0,1.25,,5.0,25.0,,,10678
FeTSPC,peroxidase,,,,,,,,,H2O2+p-HPPA,0.0,0.0036,1.0,,11,25.0,,,10679
FeTSPC,peroxidase,,,,,,,,,p-HPPA+H2O2,0.8,2.0,0.001,,1-7,22.5,,,10680
,peroxidase,,,,,,,0.0031,,H2O2+GSH,,,0.25,,7.0,25.0,,,10681
,peroxidase,,,,,,,0.0056,,H2O2+GSH,,,0.25,,7.0,25.0,,,10682
,peroxidase,,,,,,,0.016,,H2O2+GSH,,,0.25,,7.0,25.0,,,10683
,peroxidase,,,,,,,0.019,,H2O2+GSH,,,0.25,,7.0,25.0,,,10684
HRP,peroxidase,,,,,Poly(acryloyl morpholine),,,,guaiacol + H2O2,,,,,6.1,25.0,,,10685
HRP,peroxidase,,,,,Poly(acryloyl morpholine),,,,ferrocene + H2O2,,,,,6.1,25.0,,,10686
Au,peroxidase,spherical,2.0,2.0,2.0,poly(ethylene glycol),Sodium citrate,0.0387,0.0009616666666666,TMB+H2O2,0.0,0.208,250.0,,5.5,37.0,,,10687
Fe4[Fe(CN)6]3,catalase,cubic,100.0,100.0,100.0,Agarose,,,,H2O2,,,,,,37.0,,,10688
ZnPc-GQDs-MnO2@PtNPs,catalase,spherical,80.0,80.0,80.0,poly(ethylene glycol),,,,,,,,,7.4,37.0,-27.9,,10689
,glutathione peroxidase,,,,,,,,,GSH + H2O2,,,0.00126,,,,,,10690
H2O2,peroxidase,,,,,,,,,H2O2+GSH,0.01,0.1,6.6,,7.2,37.0,,,10691
H2O2,peroxidase,,,,,,,,,GSH+H2O2,0.02,13.2,0.1,,7.2,37.0,,,10692
,peroxidase,,,,,,,,,H2O2+TMB,,,,,6.1,,,,10693
,peroxidase,,,,,,,,,TMB+H2O2,,,,,6.1,,,,10694
,glutathione peroxidase,,,,,,,,,GSH + H2O2,,,,,,,,,10695
CP 600−6,peroxidase,sheet,,,,poly(ethylene imine),,0.1,1.5,TMB+H2O2,0.025,0.8,50.0,0.01,4.0,37.0,,,10696
CP 600−6,peroxidase,sheet,,,,poly(ethylene imine),,1.5,0.1,H2O2+TMB,2.5,80.0,1.0,0.01,4.0,37.0,,,10697
,peroxidase,,,,,,,,,guaiacol + H2O2,,,,,,,,,10698
,peroxidase,,,,,,,,,TMB+H2O2,,,0.5,,,,,,10699
,peroxidase,,,,,,,,,H2O2+TMB,,,0.7000000000000001,,,,,,10700
,peroxidase,,,,,,,0.02,0.0002,H2O2+TMB,,,0.01,,,25.0,,,10701
,peroxidase,,,,,,,0.02,0.0002,TMB+H2O2,,,0.01,,,25.0,,,10702
CeCu,peroxidase,spherical,100.0,100.0,100.0,,,9.02,,H2O2+TMB,0.00115,4.03,0.17,1.0,7.0,30.0,,,10703
CeCu,peroxidase,spherical,100.0,100.0,100.0,,,0.32,,TMB+H2O2,0.001,4.0,8.8,1.0,7.0,30.0,,,10704
NiPtPd,peroxidase,spherical,100.0,100.0,100.0,,,2.6,,H2O2+TMB,0.0005,1.0,0.17,1.0,7.0,30.0,,,10705
NiPtPd,peroxidase,spherical,100.0,100.0,100.0,,,0.35,,TMB+H2O2,0.001,3.0,8.8,1.0,7.0,30.0,,,10706
CuHCF,peroxidase,spherical,100.0,100.0,100.0,,,31.0,,H2O2+TMB,0.01,0.8,0.17,1.0,7.0,30.0,,,10707
CuHCF,peroxidase,spherical,100.0,100.0,100.0,,,0.12,,TMB+H2O2,0.001,1.0,8.8,1.0,7.0,30.0,,,10708
,peroxidase,,,,,,,,,TMB+H2O2,,,1.0,,,37.0,,,10709
,peroxidase,,,,,,,,,guaiacol + H2O2,,,,,6.5,23.0,,,10710
,peroxidase,,,,,,,,,pyrogallol + H2O2,,,,,6,30.0,,,10711
,peroxidase,,,,,,,,,,,,,,5,35.0,,,10712
,peroxidase,,,,,,,,,,,,,,5,35.0,,,10713
,peroxidase,,,,,,,,,,,,,,5,35.0,,,10714
,peroxidase,,,,,,,,,H2O2+guaiacol,,,90.0,,6.1,25.0,,,10715
CeO2,oxidase,spherical,5.0,5.0,5.0,,,0.18,0.0012,ABTS,0.5,0.5,,0.2,4,25.0,,,10716
CeO2,oxidase,spherical,5.0,5.0,5.0,,,1.5,6.900000000000001e-05,TMB,0.5,0.5,,0.2,4,25.0,,,10717
CeO2,oxidase,spherical,5.0,5.0,5.0,,,0.062,0.00055,ABTS,0.5,0.5,1.0,0.2,4,25.0,,,10718
CeO2,oxidase,spherical,5.0,5.0,5.0,,,0.14,6.3e-05,TMB,0.5,0.5,1.0,0.2,4,25.0,,,10719
POX 1B,peroxidase,,,,,,,4.7,,TMB+H2O2,0.01,0.1,10.0,,5,25.0,,,10720
POX 1B,peroxidase,,,,,,,10.0,,ABTS+H2O2,0.01,0.1,10.0,,5,25.0,,,10721
POX 1B,peroxidase,,,,,,,71.9,,o-dianisidine+H2O2,0.1,1.0,10.0,,5,25.0,,,10722
POX 1B,peroxidase,,,,,,,96.0,,guaiacol+H2O2,0.1,1.0,10.0,,5,25.0,,,10723
POX 1B,peroxidase,,,,,,,116.1,,H2O2+o-dianisidine,1.0,11.0,0.79,,5,25.0,,,10724
,,,,,,,,,,,,,,,,,,,10725
,,,,,,,,,,,,,,,,,,,10726
,peroxidase,,,,,,,,,TMB+H2O2,,,,,6.4,25.0,,,10727
,,,,,,,,,,,,,,,,,,,10728
C,peroxidase,spherical,160.0,160.0,160.0,,,0.257,0.00106,H2O2+TMB,,,,0.05,,,-3.58,,10729
C,peroxidase,spherical,160.0,160.0,160.0,,,0.282,0.00147,TMB+H2O2,,,,0.05,,,-3.58,,10730
C,peroxidase,spherical,160.0,160.0,160.0,,,0.2708,0.001647,H2O2+OPD,,,,0.05,,,-3.58,,10731
C,catalase,spherical,160.0,160.0,160.0,,,0.000374,0.00187,H2O2,,,,0.05,,,-3.58,,10732
Cu4O3,oxidase,nanostructure,,,,,,0.1,0.0003488333333333,OPD,,,,,~7,25.0,,,10733
Cu4O3,oxidase,nanostructure,,,,,,0.1,0.000137,OPD,,,,,~7,25.0,,,10734
Cu4O3,oxidase,nanostructure,,,,,,0.1,0.0001111666666666,DA,,,,,~7,25.0,,,10735
Cu4O3,oxidase,nanostructure,,,,,,0.1,7.016666666666667e-05,DA,,,,,~7,25.0,,,10736
Cu4O3,oxidase,nanostructure,,,,,,0.1,6.416666666666668e-05,DA,,,,,~7,25.0,,,10737
Cu4O3,oxidase,nanostructure,,,,,,0.1,3.366666666666667e-05,DA,,,,,~7,25.0,,,10738
HRP-avidin,peroxidase,,,,,,,0.043,,H2O2+TMB,,,1.7,,7,20.0,,,10739
HRP-avidin,peroxidase,,,,,,,0.074,,H2O2+TMB,,,1.7,,7,41.0,,,10740
HRP-avidin,peroxidase,,,,,,,0.081,,H2O2+TMB,,,1.7,,7,51.0,,,10741
HRP-avidin,peroxidase,,,,,,,0.027,,H2O2+TMB,,,1.7,,7,20.0,,,10742
HRP-avidin,peroxidase,,,,,,,0.071,,H2O2+TMB,,,1.7,,7,41.0,,,10743
HRP-avidin,peroxidase,,,,,,,0.098,,H2O2+TMB,,,1.7,,7,51.0,,,10744
C96H160O66N2Se2,glutathione peroxidase,,,,,,,1.63,,H2O2+GSH,0.5,3.0,1.0,,7.0,37.0,,,10745
C96H160O66N2Se2,glutathione peroxidase,,,,,,,0.547,,GSH+H2O2,0.5,2.0,1.0,,7.0,37.0,,,10746
Fe3O4@Cu/GMP,laccase,spherical,25.0,25.0,25.0,,,0.18,0.0042,OPD,,,,1.0,6.8,25.0,-27.67,,10747
,peroxidase,,,,,,,,,,,,,,,,,,10748
Pt,peroxidase,dendritic,18.0,18.0,18.0,Poly(N-Vinylpyrrolidone),,0.00081,1.2e-07,TMB+H2O2,0.5,1.5,5.0,,4.0,25.0,,,10749
Pt,peroxidase,dendritic,18.0,18.0,18.0,Poly(N-Vinylpyrrolidone),,0.0069,9.9e-08,H2O2+TMB,5.0,15.0,0.5,,4.0,25.0,,,10750
,,,,,,,,,,,,,,,,,,,10751
CeO2,peroxidase,spherical,5000.0,5000.0,5000.0,Poly(methacrylic acid-co-ethylene glycol dimethacrylate),,2.8858,0.00641,OPD + H2O2,0.05,0.8,,,7.4,22.0,,80.0,10752
PB-Ft,peroxidase,spherical,22.8,22.8,22.8,,,1.594,0.0061,TMB+H2O2,0.0,1.65138,41.43,0.05,3.6,25.0,13.7,,10753
PB-Ft,peroxidase,spherical,22.8,22.8,22.8,,,11.984,0.00072,H2O2+TMB,2.0,64.0,1.65138,0.05,3.6,25.0,13.7,,10754
PB-Ft,peroxidase,spherical,22.8,22.8,22.8,,,0.532,0.0011,ABTS+H2O2,0.0,0.8,2.07,0.05,3.6,25.0,13.7,,10755
PB-Ft,peroxidase,spherical,22.8,22.8,22.8,,,0.537,6.14e-05,H2O2+ABTS,2.0,64.0,0.72324,0.05,3.6,25.0,13.7,,10756
Na2SeO3,glutathione peroxidase,,,,,,,,,,,,,,,,,,10757
Selenium-enriched yeast,glutathione peroxidase,,,,,,,,,,,,,,,,,,10758
Selenium-enriched alga Chlorella,glutathione peroxidase,,,,,,,,,,,,,,,,,,10759
AuVCs,peroxidase,spherical,26.5,26.5,26.5,,,0.04167,9.583333333333334e-05,TMB+H2O2,0.0025,0.05,,,7.4,25.0,,,10760
,peroxidase,,,,,,,,,TMB+H2O2,,,1.0,,7,24.0,,,10761
,peroxidase,,,,,,,,,H2O2+TMB,,,1.0,,7,24.0,,,10762
,thioredoxin peroxidase,,,,,,,,,,,,,,,,,,10763
,superoxide dismutase,,,,,,,,,,,,,,,22.0,,,10764
,catalase,,,,,,,,,,,,,,,22.0,,,10765
,glutathione peroxidase,,,,,,,,,,,,,,,22.0,,,10766
Fe3O4,peroxidase,spherical,1.5,1.5,1.5,,Oleyl alcohol,10.1,1.996e-05,H2O2+TMB,5.0,50.0,,,6.5,25.0,,,10767
Au,peroxidase,spherical,1.5,1.5,1.5,,,,,glucose,,,,,6.5,25.0,,,10768
Fe3O4,peroxidase,spherical,1.5,1.5,1.5,,Oleyl alcohol,10.1,1.996e-05,H2O2+TMB,5.0,50.0,,,6.5,25.0,,,10769
L4.6k-dG4,peroxidase,,150.0,150.0,150.0,poly(ethylene glycol),,,,Amplex Red + H2O2,,,0.125,,,25.0,,,10770
L4.6k-dG4,peroxidase,,150.0,150.0,150.0,poly(ethylene glycol),,,,ABTS + H2O2,,,0.125,,,25.0,,,10771
,peroxidase,,,,,,,0.15,,H2O2 + TMB,,,1.5,,7.0,37.0,,,10772
,peroxidase,,,,,,,0.15,,TMB + H2O2,,,0.07,,8.0,37.0,,,10773
AuNPs@g-C3N4,peroxidase,spherical,10.0,10.0,10.0,,Sodium citrate,12.3,8.999999999999999e-05,H2O2+TMB,0.001,0.0125,10.0,,4.0,37.0,,,10774
AuNPs@g-C3N4,peroxidase,spherical,10.0,10.0,10.0,,Sodium citrate,0.097,1.52e-05,TMB+H2O2,0.0,10.0,10.0,,4.0,37.0,,,10775
,thioredoxin peroxidase,,,,,,,,,,,,,,,37.0,,,10776
,laccase,,,,,,,,,ABTS,,,,,3.8,20.0,,,10777
,peroxidase,,,,,,,,,Phenol Red + H2O2,,,0.1,,4.5,20.0,,,10778
Fe3O4,peroxidase,spherical,30.0,30.0,30.0,,,0.02,2e-05,TMB+H2O2,0.0006,0.002,0.6,,3.5,25.0,,,10779
Fe3O4,peroxidase,spherical,30.0,30.0,30.0,,,0.0002,1e-06,H2O2+TMB,0.0006,0.002,0.6,,3.5,25.0,,,10780
,peroxidase,,,,,BSA,,,,,,,,,,,,,10781
,glutathione peroxidase,,,,,,,,,H2O2+GSH,,,,,,,,,10782
g-C3N4,peroxidase,bulk,,,,,,0.005,0.0001,H2O2+TMB,0.0,0.03,12.0,2.5,3,60.0,,,10783
g-C3N4,peroxidase,bulk,,,,,,0.005,0.0001,TMB+H2O2,0.0,0.04,77.51,2.5,3,60.0,,,10784
,,,,,,,,,,,,,,,,,,,10785
HRP,peroxidase,,,,,Poly(allyloxyethylcyanoacrylate),Sodium citrate,,,TMB+H2O2,,,0.35,,6.0,26.0,,,10786
HRP,peroxidase,,,,,Poly(allyloxyethylcyanoacrylate),Sodium citrate,,,TMB+H2O2,,,0.35,,6.0,38.0,,,10787
HRP,peroxidase,,,,,Poly(allyloxyethylcyanoacrylate),Sodium citrate,,,Pyrogallol+H2O2,,,7.8,,6.0,26.0,,,10788
HRP,peroxidase,,,,,Poly(allyloxyethylcyanoacrylate),Sodium citrate,,,Pyrogallol+H2O2,,,7.8,,6.0,38.0,,,10789
Prussian Blue,peroxidase,spherical,49.0,49.0,49.0,,,,,H2O2,,,,,6.0,25.0,,,10790
,peroxidase,,,,,,,,,H2O2+guaiacol,,,8.8,,7.0,25.0,,,10791
FeN5,oxidase,,,,,,,,,,,,,,,900.0,,,10792
Co/PMCS,superoxide dismutase,,,,,,,,,,,,,,,,,,10793
Cu−N−C,peroxidase,,,,,,,,,,,,,,,,,,10794
FeN5,oxidase,,,,,,,,,TMB+H2O2,,,0.1,,,,,,10795
Zn−N−C,peroxidase,,,,,,,,,TMB+H2O2,,,0.1,100.0,,,,,10796
Co−N−C,superoxide dismutase,,,,,,,,,TMB+H2O2,,,,,,,,,10797
Fe−N−C,oxidase,,,,,,,,,TMB+H2O2,,,,,,,,,10798
Cu−N−C,peroxidase,,,,,,,,,TMB+H2O2,,,,,,,,,10799
,glutathione peroxidase,,,,,,,,,Tertiary butyl hydroperoxide + GSH,,,,,,,,,10800
,peroxidase,,,,,,,4.0,,o-PDA+H2O2,1.0,10.0,0.2,,,25.0,,,10801
,peroxidase,,,,,,,0.021,,H2O2+o-PDA,0.005,0.3,10.0,,,25.0,,,10802
,catalase,,,,,,,,,H2O2,,,,,,25.0,,,10803
,peroxidase,spherical,81000.0,81000.0,81000.0,,,53.0,,H2O2+FMA,0.0,0.3,0.5,,,25.0,,,10804
,peroxidase,spherical,78000.0,78000.0,78000.0,,,,,H2O2+FMA,0.0,0.3,0.5,,,25.0,,,10805
,peroxidase,spherical,32000.0,32000.0,32000.0,,,,,H2O2+FMA,,,0.5,,,25.0,,,10806
Hemin-T 10-EAD2,peroxidase,,,,,,Triton X-100,0.005,,H2O2+TMB,0.001,0.01,2.0,,8.6,25.0,,,10807
Hemin-T 10-EAD2,peroxidase,,,,,,Triton X-100,0.005,,TMB+H2O2,0.001,0.01,2.0,,8.6,25.0,,,10808
Hemin-T 10-EAD2,peroxidase,,,,,,Triton X-100,0.005,,H2O2+ABTS,0.001,0.01,12.0,,6.0,25.0,,,10809
Hemin-T 10-EAD2,peroxidase,,,,,,Triton X-100,0.005,,ABTS+H2O2,0.001,0.01,12.0,,6.0,25.0,,,10810
,peroxidase,,,,,,,,,TMB+H2O2,,,,,,,,,10811
,peroxidase,,,,,,,,,H2O2+TMB,,,,,,,,,10812
,peroxidase,,,,,,,,,TMB+H2O2,,,1.0,,7.4,25.0,,,10813
,peroxidase,,,,,,,,,H2O2+TMB,,,1.0,,7.4,25.0,,,10814
La3+,peroxidase,,,,,,,,,H2O2+TMB,,,0.00042,,,,,,10815
La3+,peroxidase,,,,,,,,,TMB+H2O2,,,0.00042,,,,,,10816
,peroxidase,,,,,,,,,H2O2+TMB,,,,,6.5,25.0,,,10817
,peroxidase,,,,,,,,,TMB+H2O2,,,,,6.5,25.0,,,10818
,peroxidase,,,,,,,,,catechol,,,,,6.5,25.0,,,10819
DNA50,peroxidase,,,,,,,,,TMB+H2O2,,,,,,,,,10820
DNA50/hemin,peroxidase,,,,,,,,,TMB+H2O2,,,,,,,,,10821
Control1,peroxidase,,,,,,,,,TMB+H2O2,,,,,,,,,10822
Control1/hemin,peroxidase,,,,,,,,,TMB+H2O2,,,,,,,,,10823
Control2,peroxidase,,,,,,,,,TMB+H2O2,,,,,,,,,10824
Control2/hemin,peroxidase,,,,,,,,,TMB+H2O2,,,,,,,,,10825
Control3,peroxidase,,,,,,,,,TMB+H2O2,,,,,,,,,10826
Control3/hemin,peroxidase,,,,,,,,,TMB+H2O2,,,,,,,,,10827
,,,,,,,,,,,,,,,,,,,10828
,peroxidase,,,,,,,,,pyrogallol + H2O2,,,,,,,,,10829
,peroxidase,,,,,,,,,pyrogallol + H2O2,,,,,,,,,10830
,,,,,,,,,,,,,,,,,,,10831
,peroxidase,,,,,poly(styrene sulfonate),,,,H2O2+Aniline,,,1.0,,5.0,25.0,,,10832
,peroxidase,,,,,,,,,H2O2+Aniline,,,1.0,,5.0,25.0,,,10833
Au,peroxidase,spherical,10.0,10.0,10.0,,,,,H2O2 + hydroquinone,,,,,7.5,37.0,,,10834
,glutathione peroxidase,,,,,,,,,GSH + H2O2,,,1.0,,,,,,10835
,glutathione peroxidase,,,,,,,,,H2O2 + GSH,,,1.0,,,,,,10836
Fe3O4@Pt,peroxidase,spherical,2.0,2.0,2.0,,,0.18,0.000133,TMB+H2O2,0.05,1.4,500.0,3.0,4.4,25.0,,,10837
Fe3O4@Pt,peroxidase,spherical,2.0,2.0,2.0,,,0.12,0.000133,H2O2+TMB,100.0,1200.0,0.5,3.0,4.4,25.0,,,10838
C22H22Br2N2O10Se2,glutathione peroxidase,,,,,,,0.024,0.0041666666666666,GSH+H2O2,,,0.8,,7.5,21.0,,,10839
C22H22Br2N2O10Se2,glutathione peroxidase,,,,,,,1.97,0.0138888333333333,H2O2+GSH,,,1.0,,7.5,21.0,,,10840
,peroxidase,,,,,,,,,H2O2+ascorbate,,,,,,20.0,,,10841
,peroxidase,,,,,,,,,H2O2+guaiacol,,,,,,20.0,,,10842
,peroxidase,,,,,,,,,H2O2+syringaldazine,,,,,,20.0,,,10843
,peroxidase,,,,,,,,,TMB+H2O2,,,,,,22.0,,,10844
,,,,,,,,,,,,,,,,,,,10845
C22H24N2O6Se2,glutathione peroxidase,,,,,,,0.25,0.594,H2O2+GSH,0.025,0.5,0.26,,7.5,25.0,,,10846
C22H24N2O6Se2,glutathione peroxidase,,,,,,,0.23,0.6609999999999999,H2O2+GSH,0.025,0.5,0.26,,7.5,25.0,,,10847
C18H22N2O6Se,glutathione peroxidase,,,,,,,1.41,0.8975,H2O2+GSH,0.5,2.5,0.26,,7.5,25.0,,,10848
C20H26N2O6Se,glutathione peroxidase,,,,,,,0.52,0.5756666666666667,H2O2+GSH,0.5,2.5,0.26,,7.5,25.0,,,10849
C20H20N2O6Se2,glutathione peroxidase,,,,,,,0.21,0.585,H2O2+GSH,0.5,2.5,0.26,,7.5,25.0,,,10850
C,catalase,spherical,2.7,2.7,2.7,,,393.3,,H2O2,,,,,,,-14.4,,10851
C,peroxidase,spherical,2.7,2.7,2.7,,,0.3833,,ONOO-,,,,,,,-14.4,,10852
,glutathione peroxidase,,,,,,,,,Tertiary butyl hydroperoxide + GSH,,,,,,37.0,,,10853
,peroxidase,,,,,,,,,ABTS+H2O2,,,0.1,,4.5,25.0,,,10854
,peroxidase,,,,,,,33.2,,H2O2+veratryl alcohol,,,,,3.5,25.0,,,10855
,peroxidase,,,,,,,0.00377,,NaCN+H2O2,,,,,3.5,25.0,,,10856
,peroxidase,,,,,,,30.4,,NaCl+H2O2,,,,,3.5,25.0,,,10857
,peroxidase,,,,,,,29.4,,H2O2+veratryl alcohol,,,,,3.5,25.0,,,10858
,peroxidase,,,,,,,39.3,,H2O2+veratryl alcohol,,,,,3.5,25.0,,,10859
,peroxidase,,,,,,,0.097,,H2O2+NaCl,,,,,,25.0,,,10860
PZ51,glutathione peroxidase,,,,,,,,,H2O2+GSH,,,1.0,,,,,,10861
PZ51,glutathione peroxidase,,,,,,,0.048,,H2O2+GSH,,,1.0,,,,,,10862
PZ51,glutathione peroxidase,,,,,,,2.2,,H2O2+GSH,,,1.0,,,,,,10863
Au,peroxidase,rods,2500.0,140.0,,,,,,TMB+H2O2,,,,,6,25.0,,,10864
Au,peroxidase,rods,2500.0,140.0,,,,,,H2O2+TMB,,,,,6,25.0,,,10865
G-PhB,peroxidase,,50.0,50.0,50.0,,,0.08,0.001,TMB+H2O2,0.08,0.08,176.0,,~ 12,25.0,,,10866
G-PhB,peroxidase,,50.0,50.0,50.0,,,0.08,0.001,TMB+H2O2,0.08,0.08,176.0,,~ 6.9,25.0,,,10867
,peroxidase,,,,,,,,,TMB+H2O2,,,0.2,,7.5,25.0,,,10868
,,,,,,,,,,,,,,,,,,,10869
,glutathione peroxidase,,,,,,,,,,,,,,7.0 - 7.6,,,,10870
,peroxidase,,,,,,,,,H2O2+guaicol,,,0.3,,7.2,25.0,,,10871
Au@Pt,,rods,,,,,,,,,,,,,,,,,10872
Fe3O4@PDA@Pd/Pt,peroxidase,spherical,143.4,143.4,143.4,poly(ethylene glycol),Ascorbic acid,0.036,0.0007947999999999,TMB+H2O2,0.02,0.96,10.0,,7.4,25.0,-27.8,,10873
Fe3O4@PDA@Pd/Pt,peroxidase,spherical,143.4,143.4,143.4,poly(ethylene glycol),Ascorbic acid,0.068,0.0003737,H2O2+TMB,30.0,30.0,0.5,,7.4,25.0,-27.8,,10874
PhSe2,glutathione peroxidase,,,,,,,,,GSH+H2O2,,,,,7.0,37.0,,,10875
CuZnFeS,peroxidase,spherical,12.0,12.0,12.0,Oleylamine,Oleic acid,0.07,5.6e-06,H2O2+TMB,0.02,0.5,15.0,2.0,4.2,32.0,,25.2,10876
CuZnFeS,peroxidase,spherical,12.0,12.0,12.0,Oleylamine,Oleic acid,2.2,0.00039,TMB+H2O2,0.1,1.2,1500.0,2.0,4.2,32.0,,25.2,10877
Fe3O4,peroxidase,spherical,25.0,25.0,25.0,,,,,H2O2+TMB,,,5.0,0.5,4,25.0,,,10878
Fe3O4,peroxidase,spherical,25.0,25.0,25.0,,,0.05,0.002,TMB+H2O2,,,5.0,0.5,4,25.0,,,10879
Ficin,peroxidase,,,,,,,0.19,4.69e-05,TMB+H2O2,,,0.8,0.001,5.0,35.0,,,10880
Ficin,peroxidase,,,,,,,0.35,3.4200000000000005e-05,H2O2+TMB,,,0.4,0.001,5.0,35.0,,,10881
CeVO4,superoxide dismutase,rods,50.0,,,Ethylenediaminetetraacetic acid,,,,,,,,,12,180.0,19.7,110.1,10882
