doi,agent,model,instruction,prompt_tokens,propmpt_len,completion_tokens,completion_len,formula,activity,syngony,shape,length,length_mean,length_min,length_max,width,width_mean,width_min,width_max,depth,depth_mean,depth_min,depth_max,size,size_mean,size_min,size_max,km,km_unif,vmax,vmax_unif,surface_area,surface_area_unif,zeta_potential,zeta_potential_unif,molar_mass,molar_mass_unif,c_min,c_min_unif,c_max,c_max_unif,concentration_of_nanoparticles,concentration_of_nanoparticles_unif,concentration_of_co_substrate,concentration_of_co_substrate_unif,p_h,temperature,chemicals_used_in_synthesis,surface_chemistry,polymer_used_in_synthesis,surfactant,reaction_type
10.1002.smll.201901485,mistral,mistral-large-latest,./prompts/prompt5.txt,13151,37290,820,1838,FeNC,peroxidase,,,,,,,,,,,,,,,,,,,0.1294 mM,0.1294,1.56 × 10-7 M s-1,,1140 m2 g−1,1140.0,,,,,,,,,1.7× 10-7 M,,8.16 × 10-4 M,0.8160000000000001,3.5,,"[""carbon nanotubes"", ""nitric acid"", ""sulfuric acid"", ""hydrochloric acid"", ""pyrrole"", ""ammonium peroxydisulfate"", ""ethanol"", ""NaCl"", ""Fe(NO3)3"", ""H2SO4"", ""NH3""]",,polypyrrole,,H2O2+TMB
10.1007.bf02856491,mistral,mistral-large-latest,./prompts/prompt5.txt,8961,25235,716,1964,,glutathione s-transferase,,,,,,,,,,,,,,,,,,,1.2 × 10^-4 M,0.12000000000000001,,,,,,,,,,,,,,,1 mM glutathione,,6.5,25 °C,"[""Glutathione reductase"", ""bovine serum albumin"", ""NADPH"", ""1-chloro 2,4-dinitrobenzene"", ""reduced glutathione""]",,,,"1-chloro-2,4-dinitrobenzene+glutathione"
10.1007.bf02856491,mistral,mistral-large-latest,./prompts/prompt5.txt,8961,25235,716,1964,,glutathione s-transferase,,,,,,,,,,,,,,,,,,,1.4 × 10^-4 M,0.13999999999999999,,,,,,,,,,,,,,,1 mM glutathione,,6.5,25 °C,"[""Glutathione reductase"", ""bovine serum albumin"", ""NADPH"", ""1-chloro 2,4-dinitrobenzene"", ""reduced glutathione""]",,,,"1-chloro-2,4-dinitrobenzene+glutathione"
10.1016.0378-4274(83)90228-x,mistral,mistral-large-latest,./prompts/prompt5.txt,6346,19165,332,870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,,
10.1021.acssensors.0c00632,mistral,mistral-large-latest,./prompts/prompt5.txt,18733,55730,1776,4573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,,
10.1042.bj20110380,mistral,mistral-large-latest,./prompts/prompt5.txt,16171,43224,624,1408,Human Prx4,peroxidase,,,,,,,,,,,,,,,"120 Å max diameter, 60 Å inside diameter",,,,,,,,,,,,36900 M−1·cm−1,,50 μM,0.05,,,2.5 μM,,50 μM,0.05,7.0 pH,25 °C,[],,,,H2O2+TMB
10.1042.bj20110380,mistral,mistral-large-latest,./prompts/prompt5.txt,16171,43224,624,1408,Human Prx4,peroxidase,,,,,,,,,,,,,,,"120 Å max diameter, 60 Å inside diameter",,,,,,,,,,,,36900 M−1·cm−1,,50 μM,0.05,500 μM,0.5,2.5 μM,,50 μM,0.05,7.0 pH,25 °C,[],,,,TMB+H2O2
10.1039.c8tb01853g,mistral,mistral-large-latest,./prompts/prompt5.txt,17034,44529,747,1742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,,
10.1016.j.aca.2020.02.021,mistral,mistral-large-latest,./prompts/prompt5.txt,13088,41312,671,1788,AgNPs@Fe3O4,peroxidase,,spherical,,,,,,,,,,,,,,,,,28.0 mM,28.0,,,,,,,,,,,,,,,4 mL of 34.5% H2O2,,6.2,,"[""Fe(NO3)3\u00b79H2O"", ""AgNO3"", ""sodium acetate"", ""ethylene glycol""]",,,ethylene glycol,OPD+H2O2
10.1016.j.aca.2020.02.021,mistral,mistral-large-latest,./prompts/prompt5.txt,13088,41312,671,1788,AgNPs@Fe3O4,peroxidase,,spherical,,,,,,,,,,,,,,,,,2.91 mM,2.91,,,,,,,,,,,,,,,5.625 mM OPD,,6.2,,"[""Fe(NO3)3\u00b79H2O"", ""AgNO3"", ""sodium acetate"", ""ethylene glycol""]",,,ethylene glycol,H2O2+OPD
10.1016.0006-2952(92)90245-E,mistral,mistral-large-latest,./prompts/prompt5.txt,14572,40873,680,1672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,,
10.1007.s00604-015-1674-6,mistral,mistral-large-latest,./prompts/prompt5.txt,6190,20707,339,739,Au,peroxidase,,spherical,,,,,,,,,,,,,13 nm,13.0,,,0.183 mM,0.183,1.17 μM/min,1.95e-05,,,,,,,0.05 mM,0.05,0.2 mM,0.2,0.58 nM,,2.0 M,2000.0,7.4,37 °C,"[""HAuCl4"", ""sodium citrate""]",TBA,,sodium citrate,TMB + H2O2
10.1111.j.1440-1827.1987.tb00409.x,mistral,mistral-large-latest,./prompts/prompt5.txt,6846,21267,17,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,,
10.2307.3577332,mistral,mistral-large-latest,./prompts/prompt5.txt,12170,37500,328,757,,glutathione peroxidase,,,,,,,,,,,,,,,,,,,~2 mM GSH,,,,,,,,,,0.1 mM tert-butyl hydroperoxide,,0.16 mM tert-butyl hydroperoxide,,,,0.15 mM H2O2,,,37 °C,"[""Na2SeO3 (selenite)""]",,,,H2O2+GSH
10.1590.S0100-879X2000000300015,mistral,mistral-large-latest,./prompts/prompt5.txt,9215,27130,1334,2867,Thyroid peroxidase,peroxidase,,,,,,,,,,,,,,,,,,,7.70 mM iodide,,0.120 DA353 nm/min,,,,,,,,,,18 mM,18.0,,,,,7.4,37 °C,"[""Tris-HCl buffer"", ""KI"", ""digitonin"", ""glucose"", ""glucose oxidase"", ""BSA"", ""TCA"", ""pronase""]",,,,Iodide+H2O2
10.1590.S0100-879X2000000300015,mistral,mistral-large-latest,./prompts/prompt5.txt,9215,27130,1334,2867,Thyroid peroxidase,peroxidase,,,,,,,,,,,,,,,,,,,18.81 mM iodide,,0.140 DA353 nm/min,,,,,,,,,,18 mM,18.0,,,,,7.4,37 °C,"[""Tris-HCl buffer"", ""KI"", ""digitonin"", ""glucose"", ""glucose oxidase"", ""BSA"", ""TCA"", ""pronase""]",,,,Iodide+H2O2
10.1590.S0100-879X2000000300015,mistral,mistral-large-latest,./prompts/prompt5.txt,9215,27130,1334,2867,Thyroid peroxidase,peroxidase,,,,,,,,,,,,,,,,,,,18.92 mM iodide,,0.144 DA353 nm/min,,,,,,,,,,18 mM,18.0,,,,,7.4,37 °C,"[""Tris-HCl buffer"", ""KI"", ""digitonin"", ""glucose"", ""glucose oxidase"", ""BSA"", ""TCA"", ""pronase""]",,,,Iodide+H2O2
10.1590.S0100-879X2000000300015,mistral,mistral-large-latest,./prompts/prompt5.txt,9215,27130,1334,2867,Thyroid peroxidase,peroxidase,,,,,,,,,,,,,,,,,,,12.37 mM iodide,,0.105 DA353 nm/min,,,,,,,,,,18 mM,18.0,,,,,7.4,37 °C,"[""Tris-HCl buffer"", ""KI"", ""digitonin"", ""glucose"", ""glucose oxidase"", ""BSA"", ""TCA"", ""pronase""]",,,,Iodide+H2O2
10.1039.c3nr03693f,mistral,mistral-large-latest,./prompts/prompt5.txt,19899,46866,678,1585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,,
10.4081.1747,mistral,mistral-large-latest,./prompts/prompt5.txt,9594,29175,1424,3804,"3,3’ dimethoxybenzidine dihydrochloride",peroxidase,,,,,,,,,,,,,,,,,,,,,,,,,,,29.5 kDa,29500.0,,,,,,,0.5 ml of 2M H 2O 2,,6.2,25 °C,"[""3,3\u2019 dimethoxybenzidine dihydrochloride"", ""H 2O 2"", ""sodium dodecyl sulphate"", ""horserad-ish POD type VI""]",,,,H2O2+TMB
10.4081.1747,mistral,mistral-large-latest,./prompts/prompt5.txt,9594,29175,1424,3804,"3,3’ dimethoxybenzidine dihydrochloride",peroxidase,,,,,,,,,,,,,,,,,,,,,,,,,,,32.8 kDa,32800.0,,,,,,,0.5 ml of 2M H 2O 2,,6.2,25 °C,"[""3,3\u2019 dimethoxybenzidine dihydrochloride"", ""H 2O 2"", ""sodium dodecyl sulphate"", ""horserad-ish POD type VI""]",,,,H2O2+TMB
10.4081.1747,mistral,mistral-large-latest,./prompts/prompt5.txt,9594,29175,1424,3804,"3,3’ dimethoxybenzidine dihydrochloride",peroxidase,,,,,,,,,,,,,,,,,,,,,,,,,,,52.5 kDa,52500.0,,,,,,,0.5 ml of 2M H 2O 2,,6.2,25 °C,"[""3,3\u2019 dimethoxybenzidine dihydrochloride"", ""H 2O 2"", ""sodium dodecyl sulphate"", ""horserad-ish POD type VI""]",,,,H2O2+TMB
10.4081.1747,mistral,mistral-large-latest,./prompts/prompt5.txt,9594,29175,1424,3804,"3,3’ dimethoxybenzidine dihydrochloride",peroxidase,,,,,,,,,,,,,,,,,,,,,,,,,,,98 kDa,98000.0,,,,,,,0.5 ml of 2M H 2O 2,,6.2,25 °C,"[""3,3\u2019 dimethoxybenzidine dihydrochloride"", ""H 2O 2"", ""sodium dodecyl sulphate"", ""horserad-ish POD type VI""]",,,,H2O2+TMB
10.1016.j.molcata.2010.03.036,mistral,mistral-large-latest,./prompts/prompt5.txt,2131,7095,248,622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1016.j.snb.2015.04.091,mistral,mistral-large-latest,./prompts/prompt5.txt,9712,31703,803,2103,C (Graphene Quantum Dots),peroxidase,,spherical,,,,,,,,,,,,,2 nm,2.0,,,0.01 mM,0.01,7.3 x 10-6 M sec-1,,,,,,,,0.02 mM,0.02,0.1 mM,0.1,0.5 µg / mL,,0.8 mM,0.8,3.5,35 °C,"[""Graphite powder"", ""H2SO4"", ""HNO3"", ""NaOH"", ""TMB"", ""H2O2"", ""Na2CO3"", ""Na2HPO4"", ""NaH2PO4""]",functionalized periphery carboxylic groups,,,TMB+H2O2
10.1016.j.snb.2015.04.091,mistral,mistral-large-latest,./prompts/prompt5.txt,9712,31703,803,2103,C (Graphene Quantum Dots),peroxidase,,spherical,,,,,,,,,,,,,2 nm,2.0,,,8 mM,8.0,7.3 x 10-6 M sec-1,,,,,,,,0.02 mM,0.02,0.1 mM,0.1,0.5 µg / mL,,0.8 mM,0.8,3.5,35 °C,"[""Graphite powder"", ""H2SO4"", ""HNO3"", ""NaOH"", ""TMB"", ""H2O2"", ""Na2CO3"", ""Na2HPO4"", ""NaH2PO4""]",functionalized periphery carboxylic groups,,,H2O2+TMB
10.1039.d0cc04890a,mistral,mistral-large-latest,./prompts/prompt5.txt,20719,68782,594,1520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,,
10.1021.acsami.9b17509,mistral,mistral-large-latest,./prompts/prompt5.txt,18143,50979,2793,7175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,,
10.1007.s11738-006-0035-9,mistral,mistral-large-latest,./prompts/prompt5.txt,9783,25611,264,650,Phaseolus vulgaris,peroxidase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,,H2O2+TMB
10.1016.0303-7207(87)90187-0,mistral,mistral-large-latest,./prompts/prompt5.txt,9368,28985,2125,5197,Human microsomal antigen,peroxidase,,,,,,,,,,,,,,,110000 Da,,,,,,,,,,,,110000 Da,110000.0,,,,,,,,,,4 °C,"[""sodium deoxycholate"", ""iodoacetamide"", ""dithiothreitol""]",,,,
10.1016.0303-7207(87)90187-0,mistral,mistral-large-latest,./prompts/prompt5.txt,9368,28985,2125,5197,Human microsomal antigen trypsin fragments,peroxidase,,,,,,,,,,,,,,,100000 Da,,,,,,,,,,,,100000 Da,100000.0,,,,,,,,,,4 °C,"[""sodium deoxycholate"", ""iodoacetamide"", ""dithiothreitol""]",,,,
10.1016.0303-7207(87)90187-0,mistral,mistral-large-latest,./prompts/prompt5.txt,9368,28985,2125,5197,Human microsomal antigen trypsin fragments,peroxidase,,,,,,,,,,,,,,,73000 Da,,,,,,,,,,,,73000 Da,73000.0,,,,,,,,,,4 °C,"[""sodium deoxycholate"", ""iodoacetamide"", ""dithiothreitol""]",,,,
10.1016.0303-7207(87)90187-0,mistral,mistral-large-latest,./prompts/prompt5.txt,9368,28985,2125,5197,Human microsomal antigen trypsin fragments,peroxidase,,,,,,,,,,,,,,,68000 Da,,,,,,,,,,,,68000 Da,68000.0,,,,,,,,,,4 °C,"[""sodium deoxycholate"", ""iodoacetamide"", ""dithiothreitol""]",,,,
10.1016.0303-7207(87)90187-0,mistral,mistral-large-latest,./prompts/prompt5.txt,9368,28985,2125,5197,Porcine TPO trypsin fragments,peroxidase,,,,,,,,,,,,,,,90000 Da,,,,,,,,,,,,90000 Da,90000.0,,,,,,,,,,4 °C,"[""sodium deoxycholate"", ""iodoacetamide"", ""dithiothreitol""]",,,,
10.1016.0303-7207(87)90187-0,mistral,mistral-large-latest,./prompts/prompt5.txt,9368,28985,2125,5197,Porcine TPO trypsin fragments,peroxidase,,,,,,,,,,,,,,,70000 Da,,,,,,,,,,,,70000 Da,70000.0,,,,,,,,,,4 °C,"[""sodium deoxycholate"", ""iodoacetamide"", ""dithiothreitol""]",,,,
10.1016.0303-7207(87)90187-0,mistral,mistral-large-latest,./prompts/prompt5.txt,9368,28985,2125,5197,Porcine TPO trypsin fragments,peroxidase,,,,,,,,,,,,,,,60000 Da,,,,,,,,,,,,60000 Da,60000.0,,,,,,,,,,4 °C,"[""sodium deoxycholate"", ""iodoacetamide"", ""dithiothreitol""]",,,,
10.1093.nar.gkx765,mistral,mistral-large-latest,./prompts/prompt5.txt,19311,54445,798,2204,Fe(III)-protoporphyrin IX,peroxidase,,,,,,,,,,,,,,,,,,,~0.025 mM,0.025,,,,,,,,,0 mM,0.0,1 mM,1.0,1 μM,,5 μM,0.005,8.0,22 °C,"[""Fe(III)-heme"", ""biotin tyramide"", ""H2O2"", ""CatG4"", ""Hum4"", ""c-Myc"", ""BLD"", ""Uncat"", ""Duplex"", ""Footprinting G4"", ""G4-ext"", ""PCR reverse primer"", ""PCR forward primer""]",,,,H2O2+TMB
10.1093.nar.gkx765,mistral,mistral-large-latest,./prompts/prompt5.txt,19311,54445,798,2204,Fe(III)-protoporphyrin IX,peroxidase,,,,,,,,,,,,,,,,,,,~0.025 mM,0.025,,,,,,,,,0 mM,0.0,1 mM,1.0,1 μM,,500 μM,0.5,8.0,22 °C,"[""Fe(III)-heme"", ""biotin tyramide"", ""H2O2"", ""CatG4"", ""Hum4"", ""c-Myc"", ""BLD"", ""Uncat"", ""Duplex"", ""Footprinting G4"", ""G4-ext"", ""PCR reverse primer"", ""PCR forward primer""]",,,,TMB+H2O2
10.1007.s41664-019-00101-3,mistral,mistral-large-latest,./prompts/prompt5.txt,8289,26564,964,2500,ZrO2,peroxidase,,,,,,,,,,,,,,,51 - 113 nm,82.0,51.0,113.0,~ 130 mM,130.0,~ 0.017 mM/s,0.017,,,25.8 ± 11.6 mV,25.8,,,10 nM,9.999999999999999e-06,100 mM,100.0,1 %,,1 mM,1.0,4,25 °C,"[""Zirconium (IV) oxide"", ""Bovine serum albumin (BSA)"", ""Hydrogen peroxide H2O2"", ""3,3\u2032,5,5\u2032-tetramethylbenzidine (TMB)"", ""Alkaline phosphatase (Alk Phos)"", ""\u03b2-galactosidase (B.Gal)"", ""Lipase"", ""Protease (Pro)"", ""Dimethyl sulfoxide (DMSO)"", ""Sodium acetate"", ""Sodium citrate"", ""MES buffer"", ""HEPES buffer""]",,,,TMB + H2O2
10.1007.s41664-019-00101-3,mistral,mistral-large-latest,./prompts/prompt5.txt,8289,26564,964,2500,ZrO2,peroxidase,,,,,,,,,,,,,,,51 - 113 nm,82.0,51.0,113.0,~ 0.012 mM,0.012,~ 0.017 mM/s,0.017,,,25.8 ± 11.6 mV,25.8,,,10 nM,9.999999999999999e-06,100 mM,100.0,1 %,,1 mM,1.0,4,25 °C,"[""Zirconium (IV) oxide"", ""Bovine serum albumin (BSA)"", ""Hydrogen peroxide H2O2"", ""3,3\u2032,5,5\u2032-tetramethylbenzidine (TMB)"", ""Alkaline phosphatase (Alk Phos)"", ""\u03b2-galactosidase (B.Gal)"", ""Lipase"", ""Protease (Pro)"", ""Dimethyl sulfoxide (DMSO)"", ""Sodium acetate"", ""Sodium citrate"", ""MES buffer"", ""HEPES buffer""]",,,,H2O2 + TMB
10.1016.j.abb.2008.11.017,mistral,mistral-large-latest,./prompts/prompt5.txt,18283,50083,1359,4172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,,
10.1023.a:1018403518763,mistral,mistral-large-latest,./prompts/prompt5.txt,5753,18541,393,962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,,
10.1016.j.bios.2019.111707,mistral,mistral-large-latest,./prompts/prompt5.txt,12687,39876,353,780,GO,peroxidase,,sheet-like,,,,,,,,,,,,,,,,,0.296 mmol/L,0.296,108.1 nmol L−1 s−1,,,,,,,,2.5 muM,,150 muM,,0.05 mg/mL,0.05,,,3.0,40 °C,"[""Graphite"", ""NaNO3"", ""KMnO4"", ""H2SO4"", ""H2O2"", ""HCl""]",,,,ABTS
10.1007.s12033-020-00292-6,mistral,mistral-large-latest,./prompts/prompt5.txt,8410,26262,823,2590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,,
10.1039.c5cy00478k,mistral,mistral-large-latest,./prompts/prompt5.txt,23121,64026,3401,8388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,,
10.1016.0031-9422(75)83092-5,mistral,mistral-large-latest,./prompts/prompt5.txt,6996,21200,1013,2722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,,
10.1530.acta.0.0620193,mistral,mistral-large-latest,./prompts/prompt5.txt,5083,16826,268,644,,iodide-peroxidase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20 µ H2O2,,7,23 °C,[],,,,
10.1039.d0ta06485h,mistral,mistral-large-latest,./prompts/prompt5.txt,21453,57090,450,1101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,,
10.1093.jn.107.2.310,mistral,mistral-large-latest,./prompts/prompt5.txt,19079,44364,768,1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,,
10.1016.j.snb.2018.11.079,mistral,mistral-large-latest,./prompts/prompt5.txt,9925,31461,1016,2280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,,
10.1016.0304-4165(84)90401-x,mistral,mistral-large-latest,./prompts/prompt5.txt,10240,30164,539,1407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,,
10.1071.ar98132,mistral,mistral-large-latest,./prompts/prompt5.txt,8696,27507,318,847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,,
10.1002.ange.200460649,mistral,mistral-large-latest,./prompts/prompt5.txt,10316,27908,418,946,unknown,unknown,,,,,,,,,,,,,,,2.5 ± 0.7 nm,2.5,1.8,3.2,0.93 mM,0.93,4.2 × 10^−3 s^−1,,,,,,,,,,,,,,,,7.4,40 °C,"[""1,1-Dimethylethoxycarbonyl (Boc) diprotected ATANP methyl-amide"", ""8-acetylsulfanyloctanoic acid"", ""BOP"", ""DIEA"", ""acetylchloride"", ""methanol"", ""acetic acid"", ""IRA-410 Amberlite resin""]","1-sulfanyloctane and 1,4,7-triazacyclononane",,,HPNP
10.1002.ange.202003949,mistral,mistral-large-latest,./prompts/prompt5.txt,20401,56134,781,2060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,,
10.1007.s13204-019-01118-x,mistral,mistral-large-latest,./prompts/prompt5.txt,16013,51178,371,853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,,
10.1039.c9an02418b,mistral,mistral-large-latest,./prompts/prompt5.txt,17330,46093,1380,3301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,,
10.1016.j.saa.2021.120348,mistral,mistral-large-latest,./prompts/prompt5.txt,11409,35076,682,1464,GSH-AgNPs,peroxidase,,sphere,,,,,,,,,,,,,8 nm,8.0,,,58.6 mM,58.6,2.15 × 10^-7 M/s,0.00021499999999999997,,,-24.8 mV,-24.8,,,0 mM,0.0,3 M,3000.0,0.456 mg/mL,0.456,10 mM,10.0,5.0,20 °C,"[""NaBH4"", ""AgNO3"", ""GSH""]",GSH,,,H2O2+TMB
10.1016.j.saa.2021.120348,mistral,mistral-large-latest,./prompts/prompt5.txt,11409,35076,682,1464,GSH-AgNPs,peroxidase,,sphere,,,,,,,,,,,,,8 nm,8.0,,,4.17 mM,4.17,2.47 × 10^-6 M/s,0.00247,,,-24.8 mV,-24.8,,,0 mM,0.0,30 mM,30.0,0.456 mg/mL,0.456,5 M,5000.0,5.0,20 °C,"[""NaBH4"", ""AgNO3"", ""GSH""]",GSH,,,TMB+H2O2
10.1163.22119434-900000085,mistral,mistral-large-latest,./prompts/prompt5.txt,8020,22865,17,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,,
10.1016.j.jplph.2014.08.010,mistral,mistral-large-latest,./prompts/prompt5.txt,13418,39700,319,822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,,
10.1016.j.enmm.2021.100471,mistral,mistral-large-latest,./prompts/prompt5.txt,11213,33699,330,725,Fe2O3,peroxidase,,spherical,,,,,,,,,,,,,64 nm,64.0,,,,,,,14.0 m2/g,14.0,,,,,0.02 μg mL−1,,0.8 μg mL−1,,,,,,9.8,20 °C,"[""FeCl3"", ""FeCl2"", ""NaOH""]",,,,TMB+H2O2
10.1016.j.biomaterials.2021.121023,mistral,mistral-large-latest,./prompts/prompt5.txt,16186,50677,666,1656,Fe3O4,peroxidase,cubic,quantum dots,,,,,,,,,,,,,6 nm,6.0,,,~100 µM,0.1,~7.05 × 10−3 min−1,,,,,,,,,,,,100 μg/mL,0.1,500 μM,0.5,3-4,,"[""FeCl3\u22c56H2O"", ""L-ascorbic acid"", ""NaHCO3""]",PEG,poly(ethylene glycol),l-ascorbic acid,H2O2+TMB
10.1016.j.biomaterials.2021.121023,mistral,mistral-large-latest,./prompts/prompt5.txt,16186,50677,666,1656,Fe3O4,peroxidase,cubic,quantum dots,,,,,,,,,,,,,6 nm,6.0,,,~100 µM,0.1,~7.05 × 10−3 min−1,,,,,,,,,,,,100 μg/mL,0.1,500 μM,0.5,3-4,,"[""FeCl3\u22c56H2O"", ""L-ascorbic acid"", ""NaHCO3""]",PEG,poly(ethylene glycol),l-ascorbic acid,TMB+H2O2
10.1007.bf00836370,mistral,mistral-large-latest,./prompts/prompt5.txt,5292,16773,17,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,,
10.1016.s0981-9428(01)01260-8,mistral,mistral-large-latest,./prompts/prompt5.txt,8133,25616,280,720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,,
10.1007.s42360-021-00335-1,mistral,mistral-large-latest,./prompts/prompt5.txt,9481,31029,328,845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,,
10.1021.acsabm.0c00348,mistral,mistral-large-latest,./prompts/prompt5.txt,28146,70237,643,1565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,,
10.3390.molecules24081508,mistral,mistral-large-latest,./prompts/prompt5.txt,13203,41186,318,813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,,
10.1021.acsami.0c01789,mistral,mistral-large-latest,./prompts/prompt5.txt,20240,58334,847,1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,,
10.1039.c1cc13279b,mistral,mistral-large-latest,./prompts/prompt5.txt,9667,27837,362,799,C (MWNT),peroxidase,,tube,10-30 nm,20.0,10.0,30.0,,,,,,,,,,,,,,,,,,,+59.57 mV,59.57,,,,,,,15 mg ml-1,,80 mM,80.0,5.0,20 °C,"[""MWNTs"", ""PAH"", ""SP-COOH"", ""EDC"", ""NHS"", ""sulfo-NHS"", ""DMF"", ""MES buffer""]",PAH,PAH,,H2O2+TMB
10.1039.b615467k,mistral,mistral-large-latest,./prompts/prompt5.txt,10067,32079,337,809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,,
10.1021.acssuschemeng.0c06920,mistral,mistral-large-latest,./prompts/prompt5.txt,25165,65019,785,1740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,,
10.1080.10520290701714013,mistral,mistral-large-latest,./prompts/prompt5.txt,25810,59267,1621,3971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,,
10.1016.j.jcis.2021.08.055,mistral,mistral-large-latest,./prompts/prompt5.txt,9057,29112,401,988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,,
10.1139.b75-103,mistral,mistral-large-latest,./prompts/prompt5.txt,12068,39006,314,808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,,
10.1016.j.bmc.2011.07.032,mistral,mistral-large-latest,./prompts/prompt5.txt,17678,36464,1836,4558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,,
10.1016.0026-0495(76)90010-x,mistral,mistral-large-latest,./prompts/prompt5.txt,11022,32775,362,963,H2O2 + p-phenylenediamine,peroxidase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28 mM,28.0,55 mM,55.0,,,1 mM,1.0,7.0,,"[""p-phenylenediamine"", ""H2O2"", ""0.1 M sodium phosphate buffer"", ""0.2% Triton X-100"", ""0.2% sodium taurocholate""]",,,,p-phenylenediamine + H2O2
10.1016.j.colsurfb.2017.03.038,mistral,mistral-large-latest,./prompts/prompt5.txt,9810,31942,1924,5257,Fe3O4,peroxidase,,near-spherical,,,,,,,,,,,,,275 nm,275.0,,,,,,,47.1 m2 g-1,47.1,-8.7 mV,-8.7,,,,,,,25 μg/mL,0.025,0.63 μM,0.00063,3.6,,"[""FeCl3\u00b76H2O"", ""Gelatin"", ""Ethylene glycol"", ""NaAc"", ""NaOH""]",,,,TMB + H2O2
10.1016.j.colsurfb.2017.03.038,mistral,mistral-large-latest,./prompts/prompt5.txt,9810,31942,1924,5257,Fe3O4,peroxidase,,polygonal,,,,,,,,,,,,,120 nm,120.0,,,,,,,,,,,,,,,,,,,,,,,"[""FeCl3\u00b76H2O"", ""Gelatin"", ""Ethylene glycol"", ""NaAc"", ""NaOH""]",,,,
10.1016.j.colsurfb.2017.03.038,mistral,mistral-large-latest,./prompts/prompt5.txt,9810,31942,1924,5257,Fe3O4,peroxidase,,polygonal,,,,,,,,,,,,,108 nm,108.0,,,,,,,,,,,,,,,,,,,,,,,"[""FeCl3\u00b76H2O"", ""Gelatin"", ""Ethylene glycol"", ""NaAc"", ""NaOH""]",,,,
10.1016.j.colsurfb.2017.03.038,mistral,mistral-large-latest,./prompts/prompt5.txt,9810,31942,1924,5257,Fe3O4,peroxidase,,polygonal,,,,,,,,,,,,,77 nm,77.0,,,,,,,,,,,,,,,,,,,,,,,"[""FeCl3\u00b76H2O"", ""Gelatin"", ""Ethylene glycol"", ""NaAc"", ""NaOH""]",,,,
