doi,agent,model,instruction,prompt_tokens,propmpt_len,completion_tokens,completion_len,formula,activity,syngony,shape,length,length_mean,length_min,length_max,width,width_mean,width_min,width_max,depth,depth_mean,depth_min,depth_max,size,size_mean,size_min,size_max,km,km_unif,vmax,vmax_unif,surface_area,surface_area_unif,zeta_potential,zeta_potential_unif,molar_mass,molar_mass_unif,c_min,c_min_unif,c_max,c_max_unif,concentration_of_nanoparticles,concentration_of_nanoparticles_unif,concentration_of_co_substrate,concentration_of_co_substrate_unif,p_h,temperature,chemicals_used_in_synthesis,polymer_used_in_synthesis,surfactant,reaction_type
10.3791.54484,mistral,mistral-small-latest,./prompts/prompt4.txt,7992,33922,296,1037,H2O2,peroxidase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700 µM,0.7000000000000001,7.4,37 °C,"[""phosphate-buffered saline (PBS, 10 mM)"", ""Hanks balanced salt solution (HBSS)"", ""aminophenyl fluorescein (APF)"", ""4-aminobenzoic acid hydrazide (4-ABAH)"", ""dimethyl sulfoxide (DMSO)"", ""hydrogen peroxide (H2O2)""]",,,H2O2+TMB
10.3109.10715768609051642,mistral,mistral-small-latest,./prompts/prompt4.txt,5850,21180,1224,4272,,peroxidase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1 mM,0.1,,20 °C,"[""1-chloro-2,4-dinitrobenzene"", ""1,2-dichloro-4-nitrobenzene"", ""p-nitrobenzyl chloride"", ""1,2-epoxy-3-(p-nitrophenoxy)-propane"", ""trans-4-phenyl-3-butene-2-one"", ""ethacrynic acid"", ""bromosulfophthalein"", ""GSH"", ""NADPH"", ""CM-Sephadex-C-50"", ""Epoxy-Sepharose-6-B"", ""Ampholytes"", ""potassium phosphate buffer"", ""EDTA"", ""DTT"", ""Tris/CI"", ""KCI"", ""cumene hydroperoxide"", ""ter-butyl-hydroperoxide"", ""hydrogen peroxide""]",,,CHP
10.3109.10715768609051642,mistral,mistral-small-latest,./prompts/prompt4.txt,5850,21180,1224,4272,,peroxidase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1 mM,0.1,,,"[""1-chloro-2,4-dinitrobenzene"", ""1,2-dichloro-4-nitrobenzene"", ""p-nitrobenzyl chloride"", ""1,2-epoxy-3-(p-nitrophenoxy)-propane"", ""trans-4-phenyl-3-butene-2-one"", ""ethacrynic acid"", ""bromosulfophthalein"", ""GSH"", ""NADPH"", ""CM-Sephadex-C-50"", ""Epoxy-Sepharose-6-B"", ""Ampholytes"", ""potassium phosphate buffer"", ""EDTA"", ""DTT"", ""Tris/CI"", ""KCI"", ""cumene hydroperoxide"", ""ter-butyl-hydroperoxide"", ""hydrogen peroxide""]",,,t-BHP
10.3109.10715768609051642,mistral,mistral-small-latest,./prompts/prompt4.txt,5850,21180,1224,4272,,peroxidase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1 mM,0.1,,,"[""1-chloro-2,4-dinitrobenzene"", ""1,2-dichloro-4-nitrobenzene"", ""p-nitrobenzyl chloride"", ""1,2-epoxy-3-(p-nitrophenoxy)-propane"", ""trans-4-phenyl-3-butene-2-one"", ""ethacrynic acid"", ""bromosulfophthalein"", ""GSH"", ""NADPH"", ""CM-Sephadex-C-50"", ""Epoxy-Sepharose-6-B"", ""Ampholytes"", ""potassium phosphate buffer"", ""EDTA"", ""DTT"", ""Tris/CI"", ""KCI"", ""cumene hydroperoxide"", ""ter-butyl-hydroperoxide"", ""hydrogen peroxide""]",,,H2O2
10.1016.0197-0186(94)00154-M,mistral,mistral-small-latest,./prompts/prompt4.txt,8143,28585,278,1038,,glutathione peroxidase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.6,4 °C,"[""Melatonin"", ""Tris(hydroxymethyl)aminomethane hydrochloride"", ""Potassium chloride"", ""Potassium cyanide"", ""Cumene hydroperoxide"", ""Chloroform"", ""Phosphate buffer""]",,,
10.3168.jds.S0022-0302(96)76515-3,mistral,mistral-small-latest,./prompts/prompt4.txt,8040,26605,324,1143,,peroxidase,,,,,,,,,,,,,,,,,,,,,,,,,,,84000 Da,84000.0,,,,,,,0.025 %,,4.01,37 °C,"[""GSH-Px"", ""PBS"", ""Freund\u2019s incomplete adjuvant"", ""Protein A Sepharose"", ""Coomassie protein assay reagent"", ""Horseradish peroxidase"", ""2,2\u2019-azino-bis(3-ethylbentzthiazoline-6-sulfonic acid) diammonium salt"", ""H2O2"", ""NaF"", ""hemolytic Gey\u2019s balanced salt solution""]",,,H2O2+ABTS
10.1007.bf02178847,mistral,mistral-small-latest,./prompts/prompt4.txt,3147,10916,797,3026,,peroxidase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.1,,"[""estradiol cyclopentyl propionate"", ""estradiol benzoate"", ""progesterone"", ""relaxin"", ""polyvinylpyrrolidone"", ""guaiacol"", ""mesidine"", ""hydrogen peroxide""]",polyvinylpyrrolidone,,guaiacol + H2O2
10.1007.bf02178847,mistral,mistral-small-latest,./prompts/prompt4.txt,3147,10916,797,3026,,peroxidase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9,,"[""estradiol cyclopentyl propionate"", ""estradiol benzoate"", ""progesterone"", ""relaxin"", ""polyvinylpyrrolidone"", ""guaiacol"", ""mesidine"", ""hydrogen peroxide""]",polyvinylpyrrolidone,,guaiacol + H2O2
10.1007.bf02178847,mistral,mistral-small-latest,./prompts/prompt4.txt,3147,10916,797,3026,,peroxidase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9,,"[""estradiol cyclopentyl propionate"", ""estradiol benzoate"", ""progesterone"", ""relaxin"", ""polyvinylpyrrolidone"", ""guaiacol"", ""mesidine"", ""hydrogen peroxide""]",polyvinylpyrrolidone,,mesidine + H2O2
10.1021.acs.nanolett.9b03782,mistral,mistral-small-latest,./prompts/prompt4.txt,20000,63780,647,2049,Pd,peroxidase,cubic,octahedron,19.2 nm,19.2,,,19.2 nm,19.2,,,19.2 nm,19.2,,,19.2 nm,19.2,,,4.8e-5 M,0.048,3.0e-7 M/s,0.0003,33.33 m^2/g,33.33,,,,,,,,,1.5e-12 M,,2.0 M,2000.0,4.0,25 °C,"[""diethylene glycol"", ""sodium tetrachloropalladate"", ""potassium bromide"", ""L-ascorbic acid"", ""polyvinylpyrrolidone"", ""triethylene glycol"", ""hydrochloric acid""]",polyvinylpyrrolidone,potassium bromide,TMB+H2O2
10.1021.acs.nanolett.9b03782,mistral,mistral-small-latest,./prompts/prompt4.txt,20000,63780,647,2049,Pd,peroxidase,cubic,icosahedron,19.5 nm,19.5,,,19.5 nm,19.5,,,19.5 nm,19.5,,,19.5 nm,19.5,,,9.5e-5 M,0.095,5.2e-7 M/s,0.00052,38.46 m^2/g,38.46,,,,,,,,,1.7e-12 M,,2.0 M,2000.0,4.0,25 °C,"[""diethylene glycol"", ""sodium tetrachloropalladate"", ""polyvinylpyrrolidone""]",polyvinylpyrrolidone,,TMB+H2O2
10.1039.c6tb01233g,mistral,mistral-small-latest,./prompts/prompt4.txt,11653,35685,627,1866,Cu(OH)2,peroxidase,orthorhombic,multipod,150-250 nm,200.0,150.0,250.0,,,,,,,,,150 nm,150.0,,,1.335 mM,1.335,42.1 10^-8 M/s,0.00042100000000000004,136 m^2/g,136.0,,,,,0.1 nM,1e-07,100 nM,9.999999999999999e-05,30 µg,,530 µM,0.53,4.5,25 °C,"[""Cu(NO3)2"", ""NH3\u00b7H2O"", ""Cu(OH)2 nanoparticles"", ""PVP""]",polyvinylpyrrolidone,,TMB+H2O2
10.1039.c6tb01233g,mistral,mistral-small-latest,./prompts/prompt4.txt,11653,35685,627,1866,Cu(OH)2,peroxidase,orthorhombic,multipod,150-250 nm,200.0,150.0,250.0,,,,,,,,,150 nm,150.0,,,0.379 mM,0.379,39.1 10^-8 M/s,0.00039100000000000007,136 m^2/g,136.0,,,,,0.1 nM,1e-07,100 nM,9.999999999999999e-05,30 µg,,800 µM,0.8,4.5,25 °C,"[""Cu(NO3)2"", ""NH3\u00b7H2O"", ""Cu(OH)2 nanoparticles"", ""PVP""]",polyvinylpyrrolidone,,H2O2+TMB
10.1111.j.1600-0404.1981.tb00750.x,mistral,mistral-small-latest,./prompts/prompt4.txt,6246,22390,462,1619,,glutathione peroxidase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37 °C,"[""null""]",,,H2O2+GSH
10.1111.j.1600-0404.1981.tb00750.x,mistral,mistral-small-latest,./prompts/prompt4.txt,6246,22390,462,1619,,glutathione peroxidase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25 °C,"[""null""]",,,TBH+GSH
10.1039.d0ce00450b,mistral,mistral-small-latest,./prompts/prompt4.txt,11646,61526,668,2183,Fe3+-MCNs,peroxidase,,spherical,,,,,,,,,,,,,60 nm,60.0,,,1.61 mM,1.61,6.76e-9 M/s,6.76e-06,515.4 m2/g,515.4,-15.6 mV,-15.6,,,5e-6 M,0.004999999999999999,200e-6 M,0.19999999999999998,25 µg/mL,0.025,1 mM,1.0,4.0,37 °C,"[""phenol"", ""sodium hydroxide"", ""formalin aqueous solution"", ""triblock copolymer Pluronic F127"", ""ferric chloride hexahydrate"", ""concentrated nitric acid"", ""concentrated sulfuric acid""]",Pluronic F127,,H2O2+TMB
10.1039.d0ce00450b,mistral,mistral-small-latest,./prompts/prompt4.txt,11646,61526,668,2183,Fe3+-MCNs,peroxidase,,spherical,,,,,,,,,,,,,60 nm,60.0,,,1.61 mM,1.61,6.76e-9 M/s,6.76e-06,515.4 m2/g,515.4,-15.6 mV,-15.6,,,,,,,25 µg/mL,0.025,25 mM,25.0,4.0,37 °C,"[""phenol"", ""sodium hydroxide"", ""formalin aqueous solution"", ""triblock copolymer Pluronic F127"", ""ferric chloride hexahydrate"", ""concentrated nitric acid"", ""concentrated sulfuric acid""]",Pluronic F127,,TMB+H2O2
10.1007.s12274-020-2818-5,mistral,mistral-small-latest,./prompts/prompt4.txt,18007,63373,861,2680,Au-Ag,peroxidase,,nanotriangles,,,,,,,,,,,,,60 nm,60.0,,,~0.05 mM,0.05,~0.00001 mM/s,1e-05,,,2.3 ± 2.4 mV,2.3,,,0.05 mM,0.05,0.5 mM,0.5,1.0 µg/mL,0.001,50 mM,50.0,4.5,25 °C,"[""Silver nitrate (AgNO3)"", ""sodium citrate tribasic dihydrate (TSC)"", ""sodium borohydride (NaBH4)"", ""chloroauric acid (HAuCl4)"", ""GOx"", ""3,3',5,5'-tetramethylbenzidine (TMB)"", ""Thioctic acid (TA)"", ""N-(3-(dimethylamino)-propyl)-3-ethylcarbodiimide hydrochloride (EDC)"", ""N-hydroxysuccinimide (NHS)"", ""Polyvinylpyrrolidone (PVP)"", ""Hydrogen peroxide (H2O2)""]",Polyvinylpyrrolidone (PVP),Hydrogen peroxide (H2O2),H2O2+TMB
10.1007.s12274-020-2818-5,mistral,mistral-small-latest,./prompts/prompt4.txt,18007,63373,861,2680,Au-Ag,peroxidase,,nanotriangles,,,,,,,,,,,,,60 nm,60.0,,,~0.05 mM,0.05,~0.00001 mM/s,1e-05,,,2.3 ± 2.4 mV,2.3,,,0.05 mM,0.05,0.5 mM,0.5,1.0 µg/mL,0.001,50 mM,50.0,4.5,25 °C,"[""Silver nitrate (AgNO3)"", ""sodium citrate tribasic dihydrate (TSC)"", ""sodium borohydride (NaBH4)"", ""chloroauric acid (HAuCl4)"", ""GOx"", ""3,3',5,5'-tetramethylbenzidine (TMB)"", ""Thioctic acid (TA)"", ""N-(3-(dimethylamino)-propyl)-3-ethylcarbodiimide hydrochloride (EDC)"", ""N-hydroxysuccinimide (NHS)"", ""Polyvinylpyrrolidone (PVP)"", ""Hydrogen peroxide (H2O2)""]",Polyvinylpyrrolidone (PVP),Hydrogen peroxide (H2O2),TMB+H2O2
10.1046.j.1432-1327.2000.01259.x,mistral,mistral-small-latest,./prompts/prompt4.txt,14047,45130,1431,5516,CpeB,catalase-peroxidase,,,,,,,,,,,,,,,,,,,~10 mM,10.0,~0.45 U/mg,,,,,,,,0 mM,0.0,20 mM,20.0,,,20 mM,20.0,7.0,25 °C,"[""Hydrogen peroxide"", ""o-dianisidine"", ""4-chloro-1-naphthol"", ""2,2'-azino-bis(3-ethylbenzothiazoline-6-sulfonic acid)"", ""Sodium acetate"", ""Sodium phosphate"", ""Potassium phosphate"", ""Sodium tartrate"", ""Citrate/sodium phosphate"", ""Methylethyl ketone"", ""CNBr-activated Sepharose 4B"", ""Glycine/HCl"", ""Thiostrepton"", ""Triton X-100"", ""Sodium citrate"", ""Sodium chloride"", ""Ammonium sulfate"", ""Ethidium bromide"", ""Potassium ferricyanide"", ""Ferric chloride"", ""Potassium cyanide"", ""Sodium azide"", ""Manganese sulfate"", ""Avicel"", ""Glucose"", ""Sodium dodecyl sulfate"", ""Acrylamide"", ""Tris/borate/EDTA"", ""Ethidium bromide"", ""T4 ligase"", ""Calcium chloride"", ""Agarose"", ""Thiostrepton"", ""Triton X-100"", ""Sodium acetate"", ""Sodium phosphate"", ""Potassium phosphate"", ""Sodium tartrate"", ""Citrate/sodium phosphate"", ""Methylethyl ketone"", ""CNBr-activated Sepharose 4B"", ""Glycine/HCl"", ""Thiostrepton"", ""Triton X-100"", ""Sodium citrate"", ""Sodium chloride"", ""Ammonium sulfate"", ""Ethidium bromide"", ""Potassium ferricyanide"", ""Ferric chloride"", ""Potassium cyanide"", ""Sodium azide"", ""Manganese sulfate"", ""Avicel"", ""Glucose"", ""Sodium dodecyl sulfate"", ""Acrylamide"", ""Tris/borate/EDTA"", ""Ethidium bromide"", ""T4 ligase"", ""Calcium chloride"", ""Agarose"", ""Thiostrepton""]",,,H2O2+TMB
10.1046.j.1432-1327.2000.01259.x,mistral,mistral-small-latest,./prompts/prompt4.txt,14047,45130,1431,5516,CpeB,catalase-peroxidase,,,,,,,,,,,,,,,,,,,~10 mM,10.0,~3.03 U/mg,,,,,,,,0 mM,0.0,1 mM,1.0,,,2 mM,2.0,5.5,25 °C,"[""Hydrogen peroxide"", ""o-dianisidine"", ""4-chloro-1-naphthol"", ""2,2'-azino-bis(3-ethylbenzothiazoline-6-sulfonic acid)"", ""Sodium acetate"", ""Sodium phosphate"", ""Potassium phosphate"", ""Sodium tartrate"", ""Citrate/sodium phosphate"", ""Methylethyl ketone"", ""CNBr-activated Sepharose 4B"", ""Glycine/HCl"", ""Thiostrepton"", ""Triton X-100"", ""Sodium citrate"", ""Sodium chloride"", ""Ammonium sulfate"", ""Ethidium bromide"", ""Potassium ferricyanide"", ""Ferric chloride"", ""Potassium cyanide"", ""Sodium azide"", ""Manganese sulfate"", ""Avicel"", ""Glucose"", ""Sodium dodecyl sulfate"", ""Acrylamide"", ""Tris/borate/EDTA"", ""Ethidium bromide"", ""T4 ligase"", ""Calcium chloride"", ""Agarose"", ""Thiostrepton"", ""Triton X-100"", ""Sodium acetate"", ""Sodium phosphate"", ""Potassium phosphate"", ""Sodium tartrate"", ""Citrate/sodium phosphate"", ""Methylethyl ketone"", ""CNBr-activated Sepharose 4B"", ""Glycine/HCl"", ""Thiostrepton"", ""Triton X-100"", ""Sodium citrate"", ""Sodium chloride"", ""Ammonium sulfate"", ""Ethidium bromide"", ""Potassium ferricyanide"", ""Ferric chloride"", ""Potassium cyanide"", ""Sodium azide"", ""Manganese sulfate"", ""Avicel"", ""Glucose"", ""Sodium dodecyl sulfate"", ""Acrylamide"", ""Tris/borate/EDTA"", ""Ethidium bromide"", ""T4 ligase"", ""Calcium chloride"", ""Agarose"", ""Thiostrepton""]",,,TMB+H2O2
10.1002.bem.20059,mistral,mistral-small-latest,./prompts/prompt4.txt,10722,37416,765,2482,H2O2 + 2 ABTS,peroxidase,,,,,,,,,,,,,,,,,,,~0.2 mM,0.2,~0.001 mM/min,1.6666666666666667e-05,,,,,,,0.2 mM,0.2,0.2 mM,0.2,,,0.2 mM,0.2,5.0,25 °C,"[""Horseradish POD (EC. 1.11.1.7)"", ""Glycidyl methacrylate (GMA)"", ""p-phenylendiamine (PDA)"", ""Gelatin"", ""K2S2O8"", ""Na2S2O3"", ""Cupric chloride"", ""Methylethyl ketone"", ""Sodium carbonate buffer"", ""Hydrochloric acid (HCl)"", ""Sodium nitrite (NaNO2)"", ""Acetate buffer solution"", ""ABTS"", ""H2O2""]",Gelatin,,H2O2 + ABTS
10.1002.bem.20059,mistral,mistral-small-latest,./prompts/prompt4.txt,10722,37416,765,2482,H2O2 + 2 ABTS,peroxidase,,,,,,,,,,,,,,,,,,,~0.2 mM,0.2,~0.001 mM/min,1.6666666666666667e-05,,,,,,,0.2 mM,0.2,0.2 mM,0.2,,,0.2 mM,0.2,5.0,25 °C,"[""Horseradish POD (EC. 1.11.1.7)"", ""Glycidyl methacrylate (GMA)"", ""p-phenylendiamine (PDA)"", ""Gelatin"", ""K2S2O8"", ""Na2S2O3"", ""Cupric chloride"", ""Methylethyl ketone"", ""Sodium carbonate buffer"", ""Hydrochloric acid (HCl)"", ""Sodium nitrite (NaNO2)"", ""Acetate buffer solution"", ""ABTS"", ""H2O2""]",Nylon,,H2O2 + ABTS
10.1016.j.bmc.2016.10.018,mistral,mistral-small-latest,./prompts/prompt4.txt,9987,30999,2645,9201,C10H9NOSe,Glutathione peroxidase,,,,,,,,,,,,,,,,,,,,,,,,,,,238.14 g/mol,238.14,,,,,,,0.15 mM,0.15,,25 °C,"[""N-substituted o-iodobenzamides"", ""Lithium diselenide"", ""Sodium borohydride"", ""Potassium iodate"", ""Allyl amine"", ""Anthranilic acid"", ""2-chloroselenobenzoyl chloride""]",,,H2O2+DTTred
10.1016.j.bmc.2016.10.018,mistral,mistral-small-latest,./prompts/prompt4.txt,9987,30999,2645,9201,C10H9NOSe,Glutathione peroxidase,,,,,,,,,,,,,,,,,,,,,,,,,,,238.14 g/mol,238.14,,,,,,,0.15 mM,0.15,,25 °C,"[""N-substituted o-iodobenzamides"", ""Lithium diselenide"", ""Sodium borohydride"", ""Potassium iodate"", ""Allyl amine"", ""Anthranilic acid"", ""2-chloroselenobenzoyl chloride""]",,,H2O2+DTTred
10.1016.j.bmc.2016.10.018,mistral,mistral-small-latest,./prompts/prompt4.txt,9987,30999,2645,9201,C10H9NOSe,Glutathione peroxidase,,,,,,,,,,,,,,,,,,,,,,,,,,,238.14 g/mol,238.14,,,,,,,0.15 mM,0.15,,25 °C,"[""N-substituted o-iodobenzamides"", ""Lithium diselenide"", ""Sodium borohydride"", ""Potassium iodate"", ""Allyl amine"", ""Anthranilic acid"", ""2-chloroselenobenzoyl chloride""]",,,H2O2+DTTred
10.1016.j.bmc.2016.10.018,mistral,mistral-small-latest,./prompts/prompt4.txt,9987,30999,2645,9201,C10H9NOSe,Glutathione peroxidase,,,,,,,,,,,,,,,,,,,,,,,,,,,238.14 g/mol,238.14,,,,,,,0.15 mM,0.15,,25 °C,"[""N-substituted o-iodobenzamides"", ""Lithium diselenide"", ""Sodium borohydride"", ""Potassium iodate"", ""Allyl amine"", ""Anthranilic acid"", ""2-chloroselenobenzoyl chloride""]",,,H2O2+DTTred
10.1016.j.bmc.2016.10.018,mistral,mistral-small-latest,./prompts/prompt4.txt,9987,30999,2645,9201,C10H9NOSe,Glutathione peroxidase,,,,,,,,,,,,,,,,,,,,,,,,,,,238.14 g/mol,238.14,,,,,,,0.15 mM,0.15,,25 °C,"[""N-substituted o-iodobenzamides"", ""Lithium diselenide"", ""Sodium borohydride"", ""Potassium iodate"", ""Allyl amine"", ""Anthranilic acid"", ""2-chloroselenobenzoyl chloride""]",,,H2O2+DTTred
10.1016.j.bmc.2016.10.018,mistral,mistral-small-latest,./prompts/prompt4.txt,9987,30999,2645,9201,C20H20N2O2Se2,Glutathione peroxidase,,,,,,,,,,,,,,,,,,,,,,,,,,,478.30 g/mol,478.3,,,,,,,0.15 mM,0.15,,25 °C,"[""N-substituted o-iodobenzamides"", ""Lithium diselenide"", ""Sodium borohydride"", ""Potassium iodate"", ""Allyl amine"", ""Anthranilic acid"", ""2-chloroselenobenzoyl chloride""]",,,H2O2+DTTred
10.1016.j.bmc.2016.10.018,mistral,mistral-small-latest,./prompts/prompt4.txt,9987,30999,2645,9201,C24H32N2O2Se2,Glutathione peroxidase,,,,,,,,,,,,,,,,,,,,,,,,,,,538.44 g/mol,538.44,,,,,,,0.15 mM,0.15,,25 °C,"[""N-substituted o-iodobenzamides"", ""Lithium diselenide"", ""Sodium borohydride"", ""Potassium iodate"", ""Allyl amine"", ""Anthranilic acid"", ""2-chloroselenobenzoyl chloride""]",,,H2O2+DTTred
10.1016.j.bmc.2016.10.018,mistral,mistral-small-latest,./prompts/prompt4.txt,9987,30999,2645,9201,C24H32N2O2Se2,Glutathione peroxidase,,,,,,,,,,,,,,,,,,,,,,,,,,,538.44 g/mol,538.44,,,,,,,0.15 mM,0.15,,25 °C,"[""N-substituted o-iodobenzamides"", ""Lithium diselenide"", ""Sodium borohydride"", ""Potassium iodate"", ""Allyl amine"", ""Anthranilic acid"", ""2-chloroselenobenzoyl chloride""]",,,H2O2+DTTred
10.1016.j.bmc.2016.10.018,mistral,mistral-small-latest,./prompts/prompt4.txt,9987,30999,2645,9201,C24H32N2O2Se2,Glutathione peroxidase,,,,,,,,,,,,,,,,,,,,,,,,,,,538.44 g/mol,538.44,,,,,,,0.15 mM,0.15,,25 °C,"[""N-substituted o-iodobenzamides"", ""Lithium diselenide"", ""Sodium borohydride"", ""Potassium iodate"", ""Allyl amine"", ""Anthranilic acid"", ""2-chloroselenobenzoyl chloride""]",,,H2O2+DTTred
10.1016.j.matlet.2019.04.007,mistral,mistral-small-latest,./prompts/prompt4.txt,4839,17335,246,822,MnO2,oxidase,,spherical,,,,,,,,,,,,,158 nm,158.0,,,,,,,,,,,,,,,,,0.01 wt%,,,,4.5,25 °C,"[""KMnO4"", ""MnCl2"", ""H2O""]",PDMC,,TMB
10.1039.c5nr04893a,mistral,mistral-small-latest,./prompts/prompt4.txt,14078,47839,2015,6352,Mn2+,peroxidase,,spherical,,,,,,,,,,,,,,,,,41.34 mM,41.34,0.39 s^-1,,,,,,,,5 mM,5.0,40 mM,40.0,,,40 mM,40.0,7.1,25 °C,"[""L-histidine benzyl ester p-toluenesulfonate"", ""azelaic acid"", ""N-hydroxysuccinimide (NHS)"", ""N,N-diisopropylethylamine (DIEA)"", ""N,N,N\u2032,N\u2032-tetramethyl-o-(1H-benzotriazol-1-yl)uranium hexafluorophosphate (HBTU)"", ""MnCl2""]",,,OPD+H2O2
10.1039.c5nr04893a,mistral,mistral-small-latest,./prompts/prompt4.txt,14078,47839,2015,6352,Mn2+,peroxidase,,spherical,,,,,,,,,,,,,,,,,49.42 mM,49.42,0.42 s^-1,,,,,,,,5 mM,5.0,40 mM,40.0,,,120 mM,120.0,7.1,25 °C,"[""L-histidine benzyl ester p-toluenesulfonate"", ""azelaic acid"", ""N-hydroxysuccinimide (NHS)"", ""N,N-diisopropylethylamine (DIEA)"", ""N,N,N\u2032,N\u2032-tetramethyl-o-(1H-benzotriazol-1-yl)uranium hexafluorophosphate (HBTU)"", ""MnCl2""]",,,OPD+H2O2
10.1039.c5nr04893a,mistral,mistral-small-latest,./prompts/prompt4.txt,14078,47839,2015,6352,Mn2+,peroxidase,,spherical,,,,,,,,,,,,,,,,,53.63 mM,53.63,0.48 s^-1,,,,,,,,5 mM,5.0,40 mM,40.0,,,280 mM,280.0,7.1,25 °C,"[""L-histidine benzyl ester p-toluenesulfonate"", ""azelaic acid"", ""N-hydroxysuccinimide (NHS)"", ""N,N-diisopropylethylamine (DIEA)"", ""N,N,N\u2032,N\u2032-tetramethyl-o-(1H-benzotriazol-1-yl)uranium hexafluorophosphate (HBTU)"", ""MnCl2""]",,,OPD+H2O2
10.1039.c5nr04893a,mistral,mistral-small-latest,./prompts/prompt4.txt,14078,47839,2015,6352,Mn2+,peroxidase,,spherical,,,,,,,,,,,,,,,,,7.13 mM,7.13,0.11 s^-1,,,,,,,,40 mM,40.0,40 mM,40.0,,,5 mM,5.0,7.1,25 °C,"[""L-histidine benzyl ester p-toluenesulfonate"", ""azelaic acid"", ""N-hydroxysuccinimide (NHS)"", ""N,N-diisopropylethylamine (DIEA)"", ""N,N,N\u2032,N\u2032-tetramethyl-o-(1H-benzotriazol-1-yl)uranium hexafluorophosphate (HBTU)"", ""MnCl2""]",,,H2O2+OPD
10.1039.c5nr04893a,mistral,mistral-small-latest,./prompts/prompt4.txt,14078,47839,2015,6352,Mn2+,peroxidase,,spherical,,,,,,,,,,,,,,,,,8.23 mM,8.23,0.12 s^-1,,,,,,,,40 mM,40.0,40 mM,40.0,,,7.5 mM,7.5,7.1,25 °C,"[""L-histidine benzyl ester p-toluenesulfonate"", ""azelaic acid"", ""N-hydroxysuccinimide (NHS)"", ""N,N-diisopropylethylamine (DIEA)"", ""N,N,N\u2032,N\u2032-tetramethyl-o-(1H-benzotriazol-1-yl)uranium hexafluorophosphate (HBTU)"", ""MnCl2""]",,,H2O2+OPD
10.1039.c5nr04893a,mistral,mistral-small-latest,./prompts/prompt4.txt,14078,47839,2015,6352,Mn2+,peroxidase,,spherical,,,,,,,,,,,,,,,,,8.45 mM,8.45,0.13 s^-1,,,,,,,,40 mM,40.0,40 mM,40.0,,,10 mM,10.0,7.1,25 °C,"[""L-histidine benzyl ester p-toluenesulfonate"", ""azelaic acid"", ""N-hydroxysuccinimide (NHS)"", ""N,N-diisopropylethylamine (DIEA)"", ""N,N,N\u2032,N\u2032-tetramethyl-o-(1H-benzotriazol-1-yl)uranium hexafluorophosphate (HBTU)"", ""MnCl2""]",,,H2O2+OPD
10.1016.0003-9861(59)90550-8,mistral,mistral-small-latest,./prompts/prompt4.txt,7372,26641,355,1334,,tryptophan peroxidase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10 pmoles/4 ml,,50 pmoles/4 ml,,,,10 pmoles/4 ml,,7.0,37 °C,"[""L-tryptophan"", ""KC1"", ""glucose"", ""adenosine triphosphate (ATP)"", ""phosphate buffer"", ""MgCl2"", ""glycine"", ""arginine"", ""glutamic acid"", ""histidine"", ""isoleucine"", ""leucine"", ""lysine"", ""methionine"", ""phenylalanine"", ""tyrosine"", ""valine"", ""metaphosphoric acid"", ""glucose oxidase"", ""catalase""]",,,tryptophan + H2O2
10.1021.cm200672f,mistral,mistral-small-latest,./prompts/prompt4.txt,9695,33046,2412,7744,K0.8Fe0.8Ti1.2O4,peroxidase,,,,,,,,,,,,,,,,,,,4.95 mM,4.95,0.0484 mM/s,0.0484,,,,,40200 g/mol,40200.0,0.1 mM,0.1,30 mM,30.0,17 µg/mL,0.017,0.4 mM,0.4,4.0,298 K,"[""K0.8Fe0.8Ti1.2O4"", ""Tetrabutylammonium hydroxide"", ""Acetic acid"", ""Potassium acetate"", ""Hydrogen chloride"", ""Water""]",,,TMB+H2O2
10.1021.cm200672f,mistral,mistral-small-latest,./prompts/prompt4.txt,9695,33046,2412,7744,K0.8Fe0.8Ti1.2O4,peroxidase,,,,,,,,,,,,,,,,,,,4.40 mM,4.4,0.0259 mM/s,0.0259,,,,,40200 g/mol,40200.0,0.1 mM,0.1,30 mM,30.0,17 µg/mL,0.017,0.4 mM,0.4,4.0,298 K,"[""K0.8Fe0.8Ti1.2O4"", ""Tetrabutylammonium hydroxide"", ""Acetic acid"", ""Potassium acetate"", ""Hydrogen chloride"", ""Water""]",,,TMB+H2O2
