doi,agent,model,instruction,prompt_tokens,propmpt_len,completion_tokens,completion_len,formula,activity,syngony,shape,length,length_mean,length_min,length_max,width,width_mean,width_min,width_max,depth,depth_mean,depth_min,depth_max,size,size_mean,size_min,size_max,km,km_unif,vmax,vmax_unif,surface_area,surface_area_unif,zeta_potential,zeta_potential_unif,molar_mass,molar_mass_unif,c_min,c_min_unif,c_max,c_max_unif,concentration_of_nanoparticles,concentration_of_nanoparticles_unif,concentration_of_co_substrate,concentration_of_co_substrate_unif,p_h,temperature,chemicals_used_in_synthesis,polymer_used_in_synthesis,surfactant,reaction_type
10.1039.c7ce02165h,mistral,mistral-small-latest,./prompts/prompt4.txt,10207.0,35364,1179.0,3693,Cu2O/Au,peroxidase,cubic,octahedral,,,,,,,,,,,,,800 nm,800.0,,,,,,,,,,,,,0.25 mM,0.25,1.5 mM,1.5,,,50 mM,50.0,4,25 °C,"[""Cu(NO3)2\u00b73H2O"", ""NaOH"", ""Glucose""]",,,TMB+H2O2
10.1039.c7ce02165h,mistral,mistral-small-latest,./prompts/prompt4.txt,10207.0,35364,1179.0,3693,Cu2O/Au,peroxidase,cubic,octahedral,,,,,,,,,,,,,800 nm,800.0,,,,,,,,,,,,,40 mM,40.0,120 mM,120.0,,,0.5 mM,0.5,4,25 °C,"[""Cu(NO3)2\u00b73H2O"", ""NaOH"", ""Glucose"", ""HAuCl4\u00b74H2O"", ""Polyvinylpyrrolidone (PVP)""]",Polyvinylpyrrolidone (PVP),,H2O2+TMB
10.1039.c7ce02165h,mistral,mistral-small-latest,./prompts/prompt4.txt,10207.0,35364,1179.0,3693,Ni-CuAu,peroxidase,cubic,octahedral,,,,,,,,,,,,,800 nm,800.0,,,~0.08 mM,0.08,~0.002 mM/s,0.002,,,,,,,0.25 mM,0.25,1.5 mM,1.5,,,50 mM,50.0,4,25 °C,"[""Cu2O"", ""HAuCl4\u00b74H2O"", ""NiCl2\u00b76H2O"", ""N2H4\u00b7H2O"", ""NaOH"", ""Polyvinylpyrrolidone (PVP)""]",Polyvinylpyrrolidone (PVP),,TMB+H2O2
10.1039.c7ce02165h,mistral,mistral-small-latest,./prompts/prompt4.txt,10207.0,35364,1179.0,3693,Ni-CuAu,peroxidase,cubic,octahedral,,,,,,,,,,,,,800 nm,800.0,,,~0.06 mM,0.06,~0.002 mM/s,0.002,,,,,,,40 mM,40.0,120 mM,120.0,,,0.5 mM,0.5,4,25 °C,"[""Cu2O"", ""HAuCl4\u00b74H2O"", ""NiCl2\u00b76H2O"", ""N2H4\u00b7H2O"", ""NaOH"", ""Polyvinylpyrrolidone (PVP)""]",Polyvinylpyrrolidone (PVP),,H2O2+TMB
10.2116.analsci.15.889,mistral,mistral-small-latest,./prompts/prompt4.txt,7729.0,25982,621.0,2038,β-CD-hemin,peroxidase,,,,,,,,,,,,,,,,,,,~1.0 mM,1.0,~1.0 mM/s,1.0,,,,,,,0 M,0.0,8.4×10–5 M,,2.0×10–6 M,,6.78×10–4 M,,6.8,37 °C,"[""hemin"", ""\u03b2-CD"", ""dimethylformamide"", ""dicyclohexylcarbodiimide"", ""pyridine"", ""zeolite (4 \u00c5)"", ""ethanol"", ""acetone"", ""water""]",,,H2O2+TMB
10.2116.analsci.15.889,mistral,mistral-small-latest,./prompts/prompt4.txt,7729.0,25982,621.0,2038,β-CD-hemin,peroxidase,,,,,,,,,,,,,,,,,,,~1.0 mM,1.0,~1.0 mM/s,1.0,,,,,,,0 M,0.0,8.4×10–5 M,,2.0×10–6 M,,6.78×10–4 M,,6.8,37 °C,"[""hemin"", ""\u03b2-CD"", ""dimethylformamide"", ""dicyclohexylcarbodiimide"", ""pyridine"", ""zeolite (4 \u00c5)"", ""ethanol"", ""acetone"", ""water""]",,,TMB+H2O2
10.1097.01.ogx.0000119183.22237.1b,mistral,mistral-small-latest,./prompts/prompt4.txt,16948.0,70128,195.0,720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,
10.1159.000176476,mistral,mistral-small-latest,./prompts/prompt4.txt,9815.0,30647,488.0,1688,,Glutathione peroxidase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0084 M,8.4,7.4,22.0 ± 0.1 °C,"[""NADPH"", ""methyl ester standards"", ""Casein"", ""sunflower oil"", ""vitamin D"", ""vitamin A"", ""vitamin E"", ""vitamin mixture"", ""CaCO3"", ""CaHPO4\u00b72H2O"", ""K2HPO4\u00b73H2O"", ""NaCl"", ""Na2HPO4\u00b72H2O"", ""MgSO4\u00b77H2O"", ""ferrotartrate"", ""MnSO4\u00b7H2O"", ""ZnCO3"", ""CuSO4\u00b75H2O"", ""KJ"", ""NaMoO4\u00b72H2O"", ""NaF"", ""D,L-methionine"", ""vitamin K5"", ""thiamine"", ""riboflavin"", ""niacin"", ""vitamin B12"", ""pantothenic acid"", ""pyridoxine HCl"", ""choline HCl"", ""folic acid"", ""biotin"", ""inositol"", ""p-aminobenzoic acid"", ""ascorbic acid""]",,,H2O2+GSH
10.1016.s1872-2067(17)62957-7,mistral,mistral-small-latest,./prompts/prompt4.txt,11371.0,36194,1426.0,4552,Fe3O4/g-C3N4,peroxidase,cubic,spherical,,,,,,,,,,,,,60 nm,60.0,,,0.162 mmol/L,0.162,53.6 * 10^-8 mol/L*s,,,,,,,,0.2 mmol/L,0.2,3.2 mmol/L,3.2,30 mg/ml,30.0,2.6 µmol/L,0.0026000000000000003,4.5,25 °C,"[""Melamine"", ""FeCl3\u00b76H2O"", ""sodium acetate trihydrate (C2H9NaO5\u00b73H2O)"", ""MgCl2"", ""KCl"", ""rhodamine B (RhB)"", ""hydrogen peroxide (H2O2, 30%)"", ""TMB"", ""dopamine hydrochloride"", ""2-(N-morpholino)ethanesulfonic acid""]",,,TMB+H2O2
10.1016.s1872-2067(17)62957-7,mistral,mistral-small-latest,./prompts/prompt4.txt,11371.0,36194,1426.0,4552,Fe3O4/g-C3N4,peroxidase,cubic,spherical,,,,,,,,,,,,,60 nm,60.0,,,0.162 mmol/L,0.162,53.6 * 10^-8 mol/L*s,,,,,,,,2.6 µmol/L,0.0026000000000000003,2.6 µmol/L,0.0026000000000000003,30 mg/ml,30.0,0.2-3.2 mmol/L,,4.5,25 °C,"[""Melamine"", ""FeCl3\u00b76H2O"", ""sodium acetate trihydrate (C2H9NaO5\u00b73H2O)"", ""MgCl2"", ""KCl"", ""rhodamine B (RhB)"", ""hydrogen peroxide (H2O2, 30%)"", ""TMB"", ""dopamine hydrochloride"", ""2-(N-morpholino)ethanesulfonic acid""]",,,H2O2+TMB
10.1016.s1872-2067(17)62957-7,mistral,mistral-small-latest,./prompts/prompt4.txt,11371.0,36194,1426.0,4552,Fe3O4/g-C3N4,peroxidase,cubic,spherical,,,,,,,,,,,,,60 nm,60.0,,,,,,,,,,,,,1 mmol/L,1.0,4 mmol/L,4.0,30 mg/ml,30.0,3.5 µmol/L,0.0035,5.5,25 °C,"[""Melamine"", ""FeCl3\u00b76H2O"", ""sodium acetate trihydrate (C2H9NaO5\u00b73H2O)"", ""MgCl2"", ""KCl"", ""rhodamine B (RhB)"", ""hydrogen peroxide (H2O2, 30%)"", ""TMB"", ""dopamine hydrochloride"", ""2-(N-morpholino)ethanesulfonic acid""]",,,dopamine+H2O2
10.1016.s1872-2067(17)62957-7,mistral,mistral-small-latest,./prompts/prompt4.txt,11371.0,36194,1426.0,4552,Fe3O4/g-C3N4,peroxidase,cubic,spherical,,,,,,,,,,,,,60 nm,60.0,,,,,,,,,,,,,3.5 µmol/L,0.0035,3.5 µmol/L,0.0035,30 mg/ml,30.0,1-4 mmol/L,,5.5,25 °C,"[""Melamine"", ""FeCl3\u00b76H2O"", ""sodium acetate trihydrate (C2H9NaO5\u00b73H2O)"", ""MgCl2"", ""KCl"", ""rhodamine B (RhB)"", ""hydrogen peroxide (H2O2, 30%)"", ""TMB"", ""dopamine hydrochloride"", ""2-(N-morpholino)ethanesulfonic acid""]",,,H2O2+dopamine
10.1021.acs.chemrestox.5b00152,mistral,mistral-small-latest,./prompts/prompt4.txt,14019.0,44987,717.0,2484,"Cu,Zn-SOD",peroxidase,,,,,,,,,,,,,,,,,,,~150 µM,0.15,,,,,,,,,50 µM,0.05,4.5 mM,4.5,1 µM,,1.5 mM,1.5,7.4,25 °C,"[""PBZ"", ""sodium phosphate monobasic"", ""sodium phosphate dibasic"", ""sodium hydroxide"", ""potassium chloride"", ""magnesium sulfate"", ""D-glucose"", ""hydrogen peroxide (H2O2)"", ""NaHCO3"", ""diethylene triamine pentaacetic acid (DTPA)"", ""2-methyl-2-nitrosopropane (MNP)"", ""glucose oxidase"", ""5,5-Dimethyl-1-pyrroline-N-oxide (DMPO)""]",,,PBZ+H2O2
10.1021.acs.chemrestox.5b00152,mistral,mistral-small-latest,./prompts/prompt4.txt,14019.0,44987,717.0,2484,"Cu,Zn-SOD",peroxidase,,,,,,,,,,,,,,,,,,,~250 µM,0.25,,,,,,,,,250 µM,0.25,5 mM,5.0,1 µM,,50 µM,0.05,7.4,25 °C,"[""PBZ"", ""sodium phosphate monobasic"", ""sodium phosphate dibasic"", ""sodium hydroxide"", ""potassium chloride"", ""magnesium sulfate"", ""D-glucose"", ""hydrogen peroxide (H2O2)"", ""NaHCO3"", ""diethylene triamine pentaacetic acid (DTPA)"", ""2-methyl-2-nitrosopropane (MNP)"", ""glucose oxidase"", ""5,5-Dimethyl-1-pyrroline-N-oxide (DMPO)""]",,,H2O2+PBZ
10.1007.978-94-011-0790-7_32,mistral,mistral-small-latest,./prompts/prompt4.txt,5721.0,24006,13.0,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,
10.1016.0304-3835(83)90237-9,mistral,mistral-small-latest,./prompts/prompt4.txt,5776.0,21356,246.0,881,,glutathione peroxidase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,"[""cyclophosphamide"", ""methotrexate"", ""5-fluorouracil""]",,,
10.1177.12.7.538,mistral,mistral-small-latest,./prompts/prompt4.txt,8468.0,32739,255.0,893,,peroxidase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4 °C,"[""sodium ferricyanide"", ""benzidine"", ""ethyl alcohol"", ""H2O2""]",,,TMB+H2O2
10.1016.j.talanta.2008.11.007,mistral,mistral-small-latest,./prompts/prompt4.txt,9225.0,30740,338.0,1022,[MnIIIMnII(Ldtb)((cid:2)-OAc)2]BPh4,manganese peroxidase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.99×10^-7 mol/L,0.0009989999999999999,6.54×10^-5 mol/L,0.0654,,,4.0×10^-5 mol/L,0.04,6.0,25.0±0.5 °C,"[""2-[N,N-bis(2-pyridylmethyl)-aminomethyl]-6-[N-(3,5-di-tert-butyl-2-oxidoben-zyl)-N-(2-pyridylamino)aminomethyl]-4-methylphenol (H2Ldtb)"", ""MnIIIMnII complex""]",,,H2O2+rutin
10.1016.j.bmc.2006.10.068,mistral,mistral-small-latest,./prompts/prompt4.txt,14020.0,42291,265.0,916,,peroxidase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50 µM,0.05,7.4,30 °C,"[""phenylacetic acid derivatives"", ""salicylaldehyde derivatives"", ""Ac2O"", ""CH3CO2K""]",,,H2O2+TMB
10.1016.j.ecoleng.2016.01.055,mistral,mistral-small-latest,./prompts/prompt4.txt,9201.0,30787,467.0,1590,,peroxidase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8 mM,8.0,7,30 °C,"[""null""]",,,H2O2+TMB
10.1016.j.ecoleng.2016.01.055,mistral,mistral-small-latest,./prompts/prompt4.txt,9201.0,30787,467.0,1590,,peroxidase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8 mM,8.0,7,30 °C,"[""null""]",,,TMB+H2O2
10.1111.j.1365-2141.1978.tb01111.x,mistral,mistral-small-latest,./prompts/prompt4.txt,10264.0,34996,495.0,1850,,glutathione peroxidase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37 °C,"[""Na selenite"", ""puromycin"", ""acetylphenylhydrazine"", ""a-tocopherol"", ""CO"", ""tert-butyl-hydroperoxide""]",,,H2O2+TMB
10.1111.j.1365-2141.1978.tb01111.x,mistral,mistral-small-latest,./prompts/prompt4.txt,10264.0,34996,495.0,1850,,glutathione peroxidase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37 °C,"[""Na selenite"", ""puromycin"", ""acetylphenylhydrazine"", ""a-tocopherol"", ""CO"", ""tert-butyl-hydroperoxide""]",,,TMB+H2O2
10.1246.bcsj.82.99,mistral,mistral-small-latest,./prompts/prompt4.txt,8407.0,28574,521.0,1706,4c15-s,peroxidase,,,,,,,,,,,,,,,,,,,0.75 mM,0.75,8.6 µM/min,0.00014333333333333334,,,,,,,,,,,2 µM,,0.75 mM,0.75,6.5,25 °C,"[""hemin"", ""ABTS"", ""H2O2"", ""40KT buffer""]",,,ABTS + H2O2
10.1246.bcsj.82.99,mistral,mistral-small-latest,./prompts/prompt4.txt,8407.0,28574,521.0,1706,4c15,peroxidase,,,,,,,,,,,,,,,,,,,0.75 mM,0.75,8.6 µM/min,0.00014333333333333334,,,,,,,,,,,2 µM,,0.75 mM,0.75,6.5,25 °C,"[""hemin"", ""ABTS"", ""H2O2"", ""40KT buffer""]",,,ABTS + H2O2
10.1016.s0005-2736(97)00007-2,mistral,mistral-small-latest,./prompts/prompt4.txt,10038.0,35405,1812.0,6362,DPPC-PI,peroxidase,,spherical,,,,,,,,,,,,,186 nm,186.0,,,,,,,,,,,,,,,,,0.3 mM,,0.01 M,10.0,6,37 °C,"[""L-a-Dipalmitoylphosphatidylcholine"", ""Phosphatidylinositol"", ""Glucose oxidase"", ""Horse radish peroxidase"", ""o-dianisidine"", ""Chloroform"", ""Methanol"", ""Phosphate-buffered saline"", ""Triton X-100""]",,,H2O2+TMB
10.1016.s0005-2736(97)00007-2,mistral,mistral-small-latest,./prompts/prompt4.txt,10038.0,35405,1812.0,6362,DPPC-PI,peroxidase,,spherical,,,,,,,,,,,,,112 nm,112.0,,,,,,,,,,,,,,,,,0.3 mM,,0.01 M,10.0,6,37 °C,"[""L-a-Dipalmitoylphosphatidylcholine"", ""Phosphatidylinositol"", ""Glucose oxidase"", ""Horse radish peroxidase"", ""o-dianisidine"", ""Chloroform"", ""Methanol"", ""Phosphate-buffered saline"", ""Triton X-100""]",,,H2O2+TMB
10.1016.s0005-2736(97)00007-2,mistral,mistral-small-latest,./prompts/prompt4.txt,10038.0,35405,1812.0,6362,DPPC-PI,peroxidase,,spherical,,,,,,,,,,,,,215 nm,215.0,,,,,,,,,,,,,,,,,0.3 mM,,0.01 M,10.0,6,37 °C,"[""L-a-Dipalmitoylphosphatidylcholine"", ""Phosphatidylinositol"", ""Glucose oxidase"", ""Horse radish peroxidase"", ""o-dianisidine"", ""Chloroform"", ""Methanol"", ""Phosphate-buffered saline"", ""Triton X-100""]",,,H2O2+TMB
10.1016.s0005-2736(97)00007-2,mistral,mistral-small-latest,./prompts/prompt4.txt,10038.0,35405,1812.0,6362,DPPC-PI,peroxidase,,spherical,,,,,,,,,,,,,208 nm,208.0,,,,,,,,,,,,,,,,,0.3 mM,,0.01 M,10.0,6,37 °C,"[""L-a-Dipalmitoylphosphatidylcholine"", ""Phosphatidylinositol"", ""Glucose oxidase"", ""Horse radish peroxidase"", ""o-dianisidine"", ""Chloroform"", ""Methanol"", ""Phosphate-buffered saline"", ""Triton X-100""]",,,H2O2+TMB
10.1016.s0005-2736(97)00007-2,mistral,mistral-small-latest,./prompts/prompt4.txt,10038.0,35405,1812.0,6362,DPPC-PI,peroxidase,,spherical,,,,,,,,,,,,,108 nm,108.0,,,,,,,,,,,,,,,,,0.3 mM,,0.01 M,10.0,6,37 °C,"[""L-a-Dipalmitoylphosphatidylcholine"", ""Phosphatidylinositol"", ""Glucose oxidase"", ""Horse radish peroxidase"", ""o-dianisidine"", ""Chloroform"", ""Methanol"", ""Phosphate-buffered saline"", ""Triton X-100""]",,,H2O2+TMB
10.1016.s0005-2736(97)00007-2,mistral,mistral-small-latest,./prompts/prompt4.txt,10038.0,35405,1812.0,6362,DPPC-PI,peroxidase,,spherical,,,,,,,,,,,,,106 nm,106.0,,,,,,,,,,,,,,,,,0.3 mM,,0.01 M,10.0,6,37 °C,"[""L-a-Dipalmitoylphosphatidylcholine"", ""Phosphatidylinositol"", ""Glucose oxidase"", ""Horse radish peroxidase"", ""o-dianisidine"", ""Chloroform"", ""Methanol"", ""Phosphate-buffered saline"", ""Triton X-100""]",,,H2O2+TMB
10.1007.s10695-013-9815-5,mistral,mistral-small-latest,./prompts/prompt4.txt,12015.0,39024,510.0,1874,,glutathione peroxidase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,~95 mM,95.0,7.6,25 °C,"[""glutathione"", ""hydrogen peroxide"", ""potassium phosphate"", ""dithiothreitol"", ""reduced glutathione"", ""phenylmethylsulfonyl fluoride"", ""ethylenediamine tetraacetic acid""]",,,H2O2+GSH
10.1007.s10695-013-9815-5,mistral,mistral-small-latest,./prompts/prompt4.txt,12015.0,39024,510.0,1874,,glutathione S-transferase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,~0.95 mM,0.95,6.5,25 °C,"[""glutathione"", ""1-chloro-2,4-dinitrobenzene"", ""sodium phosphate""]",,,GSH+CDNB
10.1039.c2an16105b,mistral,mistral-small-latest,./prompts/prompt4.txt,12951.0,39445,298.0,912,CoFe2O4,peroxidase,cubic,spherical,,,,,,,,,,,,,15 ± 2 nm,15.0,13.0,17.0,,,,,,,+45.8 mV,45.8,,,1.0 × 10^-9 M,1.0000000000000002e-06,4.0 × 10^-6 M,0.004,6.42 mg/L,0.00642,1.0 × 10^-5 M,0.01,10.41,25 °C,"[""chitosan"", ""CoFe2O4 nanoparticles"", ""HCl""]",chitosan,,H2O2+Luminol
10.1039.c8an02072h,mistral,mistral-small-latest,./prompts/prompt4.txt,10712.0,34486,493.0,1628,MoS2,peroxidase,,nanoparticles,,,,,,,,,,,,,~1 nm,1.0,,,,,,,,,,,,,0.2 mM,0.2,1 mM,1.0,,,0.1 M,100.0,7.0,25 ± 1 °C,"[""MoS2 powder"", ""DMF""]",,,H2O2+TMB
10.1039.c8an02072h,mistral,mistral-small-latest,./prompts/prompt4.txt,10712.0,34486,493.0,1628,MoS2,peroxidase,,nanoparticles,,,,,,,,,,,,,~1 nm,1.0,,,,,,,,,,,,,0.2 mM,0.2,1 mM,1.0,,,0.1 M,100.0,7.0,25 ± 1 °C,"[""MoS2 powder"", ""DMF""]",,,TMB+H2O2
10.1016.j.bbapap.2013.07.005,mistral,mistral-small-latest,./prompts/prompt4.txt,11073.0,35424,1049.0,3595,VHb,peroxidase,,,,,,,,,,,,,,,4.1 nm,4.1,,,4.93E-2 mM,0.0493,29.25 μM/s,0.02925,,,,,,,0.04 mM,0.04,0.25 mM,0.25,0.5 μM,,7.5 mM,7.5,7.0,25 °C,"[""pUC19 plasmid"", ""pUCm-T"", ""Pfu polymerase"", ""restriction enzyme"", ""protein marker"", ""P-60 Gel"", ""DEAE Support"", ""myoglobin"", ""ABTS"", ""hydrogen peroxide"", ""ammonium sulfate"", ""phosphate buffer"", ""NaCl"", ""NHS-PeG4-Biotin"", ""glycine buffer""]",,,ABTS + H2O2
10.1016.j.bbapap.2013.07.005,mistral,mistral-small-latest,./prompts/prompt4.txt,11073.0,35424,1049.0,3595,VHb,peroxidase,,,,,,,,,,,,,,,5.9 nm,5.9,,,2.83E-2 mM,0.028300000000000002,33.59 μM/s,0.03359,,,,,,,0.04 mM,0.04,0.25 mM,0.25,0.5 μM,,7.5 mM,7.5,6.0,25 °C,"[""pUC19 plasmid"", ""pUCm-T"", ""Pfu polymerase"", ""restriction enzyme"", ""protein marker"", ""P-60 Gel"", ""DEAE Support"", ""myoglobin"", ""ABTS"", ""hydrogen peroxide"", ""ammonium sulfate"", ""phosphate buffer"", ""NaCl"", ""NHS-PeG4-Biotin"", ""glycine buffer""]",,,ABTS + H2O2
10.1016.j.bbapap.2013.07.005,mistral,mistral-small-latest,./prompts/prompt4.txt,11073.0,35424,1049.0,3595,VHb,peroxidase,,,,,,,,,,,,,,,6.8 nm,6.8,,,7.76E-4 mM,0.000776,0.09 μM/s,8.999999999999999e-05,,,,,,,0.04 mM,0.04,0.25 mM,0.25,0.5 μM,,7.5 mM,7.5,8.0,25 °C,"[""pUC19 plasmid"", ""pUCm-T"", ""Pfu polymerase"", ""restriction enzyme"", ""protein marker"", ""P-60 Gel"", ""DEAE Support"", ""myoglobin"", ""ABTS"", ""hydrogen peroxide"", ""ammonium sulfate"", ""phosphate buffer"", ""NaCl"", ""NHS-PeG4-Biotin"", ""glycine buffer""]",,,ABTS + H2O2
10.1016.0192-0561(83)90022-x,mistral,mistral-small-latest,./prompts/prompt4.txt,10045.0,34274,484.0,1582,,peroxidase,,,,,,,,,,,,,,,,,,,~0.01 mM,0.01,~0.001 mM/s,0.001,,,,,,,,,,,,,~0.01 mM,0.01,7,37 °C,"[""t-butylhydroperoxide (t-BuOOH)""]",,,H2O2+TMB
10.1016.0192-0561(83)90022-x,mistral,mistral-small-latest,./prompts/prompt4.txt,10045.0,34274,484.0,1582,,peroxidase,,,,,,,,,,,,,,,,,,,~0.01 mM,0.01,~0.001 mM/s,0.001,,,,,,,,,,,,,~0.01 mM,0.01,7,37 °C,"[""H2O2""]",,,TMB+H2O2
10.1104.pp.99.3.1044,mistral,mistral-small-latest,./prompts/prompt4.txt,13169.0,47423,1228.0,4340,,peroxidase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03% H2O2,,6.0,30 °C,"[""Mes (free acid)"", ""Tris (free base)"", ""CaCl2"", ""Triton X-100"", ""sodium phosphate"", ""guaiacol"", ""H2O2"", ""Tricine buffer"", ""MgCl2"", ""glucose-6-phosphate"", ""NADP+"", ""amyloglucosidase"", ""glucose oxidase"", ""\u03b2-lactoglobulin A"", ""carbonic anhydrase II"", ""carbonic anhydrase I"", ""myoglobin"", ""L-lactic dehydrogenase"", ""trypsinogen"", ""coniferyl alcohol"", ""3-amino-9-ethylcarbazole"", ""ammonium persulfate"", ""N,N,N',N'-tetramethylethylenediamine"", ""methyl green"", ""BSA"", ""anti-horseradish peroxidase""]",,,H2O2+guaiacol
10.1104.pp.99.3.1044,mistral,mistral-small-latest,./prompts/prompt4.txt,13169.0,47423,1228.0,4340,,peroxidase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,30 °C,"[""Tricine buffer"", ""MgCl2"", ""glucose-6-phosphate"", ""NADP+""]",,,
10.1104.pp.99.3.1044,mistral,mistral-small-latest,./prompts/prompt4.txt,13169.0,47423,1228.0,4340,,peroxidase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03% H2O2,,6.0,30 °C,"[""sodium phosphate"", ""guaiacol"", ""H2O2"", ""3-amino-9-ethylcarbazole"", ""coniferyl alcohol""]",,,H2O2+guaiacol
10.1104.pp.99.3.1044,mistral,mistral-small-latest,./prompts/prompt4.txt,13169.0,47423,1228.0,4340,,peroxidase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1% H2O2,,6.0,30 °C,"[""sodium phosphate"", ""guaiacol"", ""H2O2"", ""3-amino-9-ethylcarbazole"", ""coniferyl alcohol""]",,,H2O2+coniferyl alcohol
10.1039.c8nr07294a,mistral,mistral-small-latest,./prompts/prompt4.txt,18165.0,58577,527.0,1723,HRP,peroxidase,,flower-like,,,,,,,,,,,,,2892.64 nm,2892.64,,,116.81 μM,0.11681000000000001,0.19 ΔAbs/s,,,,-42.91 mV,-42.91,,,0 mM,0.0,5 mM,5.0,45 nM,,5 mM,5.0,4.5,30 °C,"[""T4 DNA ligase"", ""exonuclease I (Exo I)"", ""phi29 DNA polymerase"", ""deoxynucleotides (dNTPs)"", ""Horseradish peroxidase (HRP)"", ""2,2'-azino-bis(3-ethylbenzothiazoline)-6-sulfonate diammonium salt (ABTS)"", ""2-(N-morpholino)ethanesulfonic acid (MES)"", ""4S Red Plus solution"", ""Bradford protein assay kit"", ""hydrochloric acid (HCl)"", ""silver nitrate (AgNO3)"", ""chloroauric acid tetrahydrate (HAuCl4\u00b74H2O)"", ""cetyltrimethylammonium bromide (CTAB)"", ""sodium borohydride (NaBH4)"", ""L-ascorbic acid (AA)"", ""1-ethyl-(3-3'-dimethylaminopropyl) carbodiimide (EDC)"", ""N-hydroxysuccinimide (NHS)"", ""Thrombin"", ""PicoGreen dsDNA reagent"", ""Carboxyl-modified magnetic microparticles (MMPs)""]",Tween 20,CTAB,ABTS+H2O2
10.1186.1756-6614-6-s2-a19,mistral,mistral-small-latest,./prompts/prompt4.txt,2491.0,10219,217.0,800,TPO,peroxidase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""Chinese hamster ovary (CHO) cells""]",,,Amplex Ultra Red
10.1039.c4ra04042b,mistral,mistral-small-latest,./prompts/prompt4.txt,3232.0,64784,226.0,812,,glutathione peroxidase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""null""]",,,
10.1042.bj1010582,mistral,mistral-small-latest,./prompts/prompt4.txt,3494.0,12823,254.0,900,,peroxidase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20 M,200.0,5.3,22 °C,"[""benzidine"", ""L-ascorbic acid"", ""H2O2"", ""sodium citrate buffer"", ""ethanol""]",,,ascorbic acid + H2O2
10.1128.aem.00606-11,mistral,mistral-small-latest,./prompts/prompt4.txt,20074.0,66905,270.0,857,CcpA,peroxidase,,,,,,,,,,,,,,,,,,,11.3 µM,0.011300000000000001,20.2 µmol H2O2 min^-1 mg^-1 protein,,,,,,,,0.4 µM,0.0004,50 µM,0.05,,,3 mM,3.0,7.5,30 °C,"[""HEPES"", ""ABTS"", ""H2O2""]",,,H2O2+ABTS
10.1016.j.snb.2017.10.146,mistral,mistral-small-latest,./prompts/prompt4.txt,12101.0,43338,822.0,2721,Au@TiO2,peroxidase,tetragonal,spherical,,,,,,,,,,,,,5.5 nm,5.5,,,0.16 mM,0.16,0.0001 mM/s,0.0001,,,,,,,0.1 mM,0.1,10 mM,10.0,5 µg/mL,0.005,2 mM,2.0,3.5,60 °C,"[""acetylene"", ""copper nanoparticles"", ""ethanol"", ""titanium tetraisopropanolate (TTIP)"", ""deionized H2O"", ""3,3(cid:3),5,5(cid:3)-Tetramethylbenzidine (TMB)"", ""lactose"", ""glucose oxidase (GOx)"", ""5,5-Dimethyl-l-pyrroline N-oxide (DMPO)"", ""fructose"", ""maltose"", ""glucose"", ""ethanol"", ""H2O2"", ""isopropanol alcohol (IPA)"", ""Minute Maid grape beverage"", ""peach beverage""]",,,H2O2+TMB
